variant,seed,best_epoch,best_valid_loss,training_seconds,evaluation_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_initialized_sha256,backbone_final_sha256,backbone_frozen_unchanged,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_spatial_rmse_ugm3,disable_spatial_mae_ugm3,disable_spatial_max_abs_prediction_difference_scaled,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst_clean,2052,23,0.10089017450809479,16.05030240400083,0.009290451002016198,valid,21233,21230,False,,e43821161846ac54da7b84bb11a5224181b7e6c869f87935f6db08e81685958a,,0.10089017450809479,0.317632137083285,0.1766355037689209,23.67603302001953,13.166261672973633,24.41860008239746,23.67603302001953,13.166261672973633,0.0,0.0,0.0,0.6188169121742249,0.1486135721206665,0.06627421081066132,0.0,0.0,forecast
locked_st_clean,2052,38,0.08986734598875046,13.46186701500119,0.02115187299932586,valid,21234,4588,True,e43821161846ac54da7b84bb11a5224181b7e6c869f87935f6db08e81685958a,e43821161846ac54da7b84bb11a5224181b7e6c869f87935f6db08e81685958a,True,0.08986734598875046,0.2997788284531622,0.16994868218898773,22.34526252746582,12.667830467224121,22.63452911376953,23.67603302001953,13.166261672973633,0.14240002632141113,0.14240001142024994,0.04850611767023497,0.6007360219955444,0.1259220987558365,0.046256884932518005,0.0,0.8035716414451599,forecast
degraded_patchtst_clean,2053,39,0.10399540513753891,17.310196185000677,0.0089320079969184,valid,21233,21230,False,,16b98900e0e152d47c8400d56270eef5144f8068f73eb50b6cd600f301dbed3c,,0.10399540513753891,0.32248318582142993,0.17520444095134735,24.037626266479492,13.059591293334961,21.466514587402344,24.037626266479492,13.059591293334961,0.0,0.0,0.0,0.6115940809249878,0.19922609627246857,0.07104591280221939,0.0,0.0,forecast
locked_st_clean,2053,28,0.09487222880125046,12.27415935299723,0.02122147199770552,valid,21234,4588,True,16b98900e0e152d47c8400d56270eef5144f8068f73eb50b6cd600f301dbed3c,16b98900e0e152d47c8400d56270eef5144f8068f73eb50b6cd600f301dbed3c,True,0.09487222880125046,0.3080133581539126,0.17247384786605835,22.959056854248047,12.856056213378906,22.326990127563477,24.037626266479492,13.059591293334961,0.13747751712799072,0.13747753202915192,0.043355081801578245,0.6026507616043091,0.08768432587385178,0.04797673225402832,0.0,0.8988533020019531,forecast
degraded_patchtst_clean,2054,32,0.10022493451833725,16.81139406299917,0.008669279999594437,valid,21233,21230,False,,7b4b9863ae60b9bba9cb69aa56e1ea20873a3055b03604cb6d33df5552a4f813,,0.10022493451833725,0.31658321894619945,0.17244291305541992,23.597848892211914,12.853751182556152,20.929107666015625,23.597848892211914,12.853751182556152,0.0,0.0,0.0,0.6165850162506104,0.18821287155151367,0.0708036720752716,0.0,0.0,forecast
locked_st_clean,2054,22,0.09052684158086777,10.371345272000326,0.008785903999523725,valid,21234,4588,True,7b4b9863ae60b9bba9cb69aa56e1ea20873a3055b03604cb6d33df5552a4f813,7b4b9863ae60b9bba9cb69aa56e1ea20873a3055b03604cb6d33df5552a4f813,True,0.09052684158086777,0.30087678803933643,0.16825233399868011,22.42710304260254,12.541387557983398,20.933448791503906,23.597848892211914,12.853751182556152,0.1270374059677124,0.12704069912433624,0.04210223584355129,0.6114625334739685,0.12288298457860947,0.044231340289115906,0.0,0.7886830568313599,forecast
