variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters
trad_persistence,trad_persistence,deterministic,completed,0,,3.4589902497828007e-06,0.002299792002304457,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.08772938698530197,0.2961914701427136,0.13650159537792206,22.048330307006836,10.161105155944824,15.203777313232422,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,3.3899996196851134e-06,0.0019459759932942688,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.4791384935379028,1.2161983775428673,0.8699156045913696,90.53314208984375,64.75604248046875,76.96451568603516,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.021638081991113722,0.0022150529985083267,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9863595366477966,0.9931563505550355,0.7522835731506348,73.93001556396484,55.99958038330078,71.42414093017578,,
trad_ar,trad_ar,deterministic,completed,0,,0.05474572299863212,0.002249111988930963,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.08827903121709824,0.29711787428072756,0.13555851578712463,22.117290496826172,10.090902328491211,16.691402435302734,,
trad_ridge,trad_ridge,deterministic,completed,0,,0.02377129600790795,0.0025893980055116117,test,0,0,A,not_applicable,not_applicable,1,1.0,predictions/trad_ridge.npz,0.08907799422740936,0.2984593677997214,0.13815467059612274,22.217151641845703,10.284158706665039,17.247148513793945,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.5176789479883155,0.026746518997242674,test,0,0,A,not_applicable,not_applicable,18,10.0,predictions/trad_spatial_linear.npz,0.09514813870191574,0.30846091924572183,0.18196174502372742,22.961660385131836,13.545133590698242,28.34070587158203,,
center_gru_default,center_gru,2047,completed,30,0.10122605413198471,9.133716559997993,0.023116714000934735,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.08159365504980087,0.28564603104156877,0.13482391834259033,21.263334274291992,10.036219596862793,16.11370277404785,[9],"{""hidden_size"": 100}"
center_gru_default,center_gru,2048,completed,30,0.1007942259311676,8.873808767995797,0.02282400800322648,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2048.npz,0.08228477835655212,0.2868532348720372,0.1341920793056488,21.35319709777832,9.989184379577637,16.269393920898438,[9],"{""hidden_size"": 100}"
center_gru_default,center_gru,2049,completed,30,0.09963854402303696,9.053032746000099,0.022899517003679648,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2049.npz,0.08304999023675919,0.2881839520805404,0.13392996788024902,21.45225715637207,9.969674110412598,16.51243019104004,[9],"{""hidden_size"": 100}"
center_lstm_default,center_lstm,2047,completed,30,0.10237357765436172,8.181171814998379,0.017237747000763193,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.08170835673809052,0.28584673644820663,0.13453345000743866,21.278274536132812,10.014595985412598,15.43734073638916,[9],"{""hidden_size"": 100}"
center_lstm_default,center_lstm,2048,completed,30,0.10148891061544418,6.243482210993534,0.017338315999950282,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2048.npz,0.08037422597408295,0.2835034849416898,0.13638626039028168,21.103843688964844,10.152519226074219,16.455055236816406,[9],"{""hidden_size"": 100}"
