variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,28,0.12145715206861496,30,610,7.504260616198906,4.6184770001305475,16.541725599290544,1584
st_time,7001,30,0.1183307096362114,30,610,7.485566189699063,4.599853437356274,16.60807612663147,1584
st_rfft,7002,29,0.12542565166950226,30,610,7.571998929069762,4.663388889245312,16.995117669820562,1584
st_time,7002,29,0.11933109164237976,30,610,7.527683408425076,4.615659698091372,16.831683114719013,1584
st_rfft,7003,29,0.12611258029937744,30,610,7.600389506499621,4.759866872219124,17.1432125679818,1584
st_time,7003,29,0.11567524820566177,30,610,7.597936791571768,4.763811711109046,17.149416398652562,1584
st_rfft,7004,30,0.13886232674121857,30,610,7.749597232732035,4.884029808670584,18.00811407381926,1584
st_time,7004,30,0.1365426778793335,30,610,7.705271230460117,4.848513445468864,18.146665125243754,1584
st_rfft,7005,30,0.12847431004047394,30,610,7.578978959651844,4.738592683666885,17.10798380139935,1584
st_time,7005,30,0.1285916566848755,30,610,7.528900455083431,4.719895691582651,17.146583956020063,1584
