epoch,train_loss,valid_loss,learning_rate
1,0.22996825849239882,0.21604673564434052,0.001
2,0.10075208156301853,0.13579200208187103,0.001
3,0.0805875224418457,0.1219952180981636,0.001
4,0.07107401625942424,0.11266567558050156,0.001
5,0.06820818821207383,0.10733593255281448,0.001
6,0.06585640688095537,0.10705709457397461,0.001
7,0.06443462223301924,0.1043049767613411,0.001
8,0.0629122519848879,0.10480334609746933,0.001
9,0.05944600669653417,0.10561884194612503,0.001
10,0.06055281240483921,0.10704461485147476,0.001
11,0.06048226457207981,0.10232424736022949,0.001
12,0.0586035111518493,0.10007790476083755,0.001
13,0.05730191494657286,0.10245513170957565,0.001
14,0.056759682400662294,0.10024333000183105,0.001
15,0.05727199226593445,0.10708107054233551,0.001
16,0.05413562368756908,0.09794197231531143,0.001
17,0.054706635993226865,0.09914520382881165,0.001
18,0.05372757484141862,0.09748705476522446,0.001
19,0.053554290637849104,0.0969712883234024,0.001
20,0.05377474757534309,0.10102356225252151,0.001
21,0.0523103134433997,0.09654553234577179,0.001
22,0.052685422615398665,0.09644867479801178,0.001
23,0.05355458881459271,0.09782679378986359,0.001
24,0.05323731122829343,0.09462094306945801,0.001
25,0.051279459271704866,0.09458115696907043,0.001
26,0.05273142192308667,0.0953274592757225,0.001
27,0.05075954738897762,0.09378969669342041,0.001
28,0.04988814245601804,0.0952034443616867,0.001
29,0.051714554397984794,0.09783243387937546,0.001
30,0.049718848038358174,0.09281634539365768,0.001
