epoch,train_loss,valid_loss,learning_rate
1,0.23357408645875807,0.34814152121543884,0.001
2,0.07072395108707207,0.11826770752668381,0.001
3,0.06010180188987164,0.12074960023164749,0.001
4,0.0565360737280678,0.10305594652891159,0.001
5,0.05569476712242268,0.14649300277233124,0.001
6,0.05504741108354154,0.1769081950187683,0.001
7,0.055136909468049215,0.10398136079311371,0.001
8,0.0515830263349236,0.12430540472269058,0.0005
9,0.04139512147166548,0.14487922191619873,0.0005
10,0.045688822608401514,0.10826856642961502,0.0005
11,0.04101097420290514,0.13654395937919617,0.0005
12,0.042212130105578304,0.10413001477718353,0.00025
