epoch,train_loss,valid_loss,learning_rate
1,0.30217864551898993,0.2418513149023056,0.001
2,0.10056805604260083,0.256324827671051,0.001
3,0.10259689355569108,0.13444536924362183,0.001
4,0.08988375654010039,0.14333751797676086,0.001
5,0.08197972891594871,0.10597648471593857,0.001
6,0.08510360767484589,0.18926750123500824,0.001
7,0.07713812395796266,0.13825136423110962,0.001
8,0.07658113543422419,0.2509220838546753,0.001
9,0.06175631432994311,0.23633255064487457,0.0005
10,0.06198134445269285,0.1445302963256836,0.0005
11,0.06020195029085031,0.1365969181060791,0.0005
12,0.05274351439023739,0.1133752167224884,0.0005
13,0.04878143942682644,0.09832879900932312,0.0005
14,0.0593434587486533,0.09669998288154602,0.0005
15,0.05931310740437355,0.2291046530008316,0.0005
16,0.05287364234299515,0.14397040009498596,0.0005
17,0.04810604716111234,0.1391412764787674,0.0005
18,0.04611637446593771,0.10570979863405228,0.00025
19,0.04240416710098211,0.08940663933753967,0.00025
20,0.04454304058704821,0.10536611825227737,0.00025
21,0.04526770055958071,0.12187246978282928,0.00025
22,0.045614284979985174,0.1714538335800171,0.00025
23,0.0428764447789161,0.12081369757652283,0.000125
24,0.03495564136596264,0.10408014804124832,0.000125
25,0.03697189274971249,0.11622808128595352,0.000125
26,0.03542566545618331,0.13060474395751953,0.000125
27,0.035372546145834106,0.1181061714887619,6.25e-05
