epoch,train_loss,valid_loss,learning_rate
1,0.9034232022619988,1.4085479974746704,0.001
2,0.7064266766472518,1.205156683921814,0.001
3,0.5458809148748683,0.8546717166900635,0.001
4,0.3953628633905412,0.6938210129737854,0.001
5,0.32304226442233325,0.5988829731941223,0.001
6,0.28679788700889003,0.49613702297210693,0.001
7,0.2278541885553962,0.446673721075058,0.001
8,0.2014973606911236,0.39425715804100037,0.001
9,0.16689903281159998,0.3377749025821686,0.001
10,0.16370859970007387,0.3485777974128723,0.001
11,0.16702918346456494,0.2792015075683594,0.001
12,0.13464224474506112,0.25339335203170776,0.001
13,0.12268851853888832,0.24362270534038544,0.001
14,0.15059369709875772,0.23938851058483124,0.001
15,0.11938171488090508,0.3178979456424713,0.001
16,0.1413984608182338,0.21785202622413635,0.001
17,0.12094429149395212,0.2233341634273529,0.001
18,0.10286194092045041,0.26973938941955566,0.001
19,0.11177542010536957,0.2700817584991455,0.001
20,0.10622910794818002,0.35237547755241394,0.0005
21,0.1121443628972413,0.2784174382686615,0.0005
22,0.10078402043412381,0.18518856167793274,0.0005
23,0.08435786512306452,0.18522675335407257,0.0005
24,0.08639182194835908,0.17709413170814514,0.0005
25,0.07879761531827202,0.16936489939689636,0.0005
26,0.09868088130422625,0.2555224597454071,0.0005
27,0.10657287594707697,0.1711348593235016,0.0005
28,0.07643798113673414,0.18229970335960388,0.0005
29,0.07917224716696697,0.19660896062850952,0.00025
30,0.07594400817316668,0.1553940325975418,0.00025
31,0.07298128794108076,0.1543596237897873,0.00025
32,0.07031048652293345,0.20186467468738556,0.00025
33,0.07745227133725767,0.15218406915664673,0.00025
34,0.07681403196891214,0.1608109027147293,0.00025
35,0.07182202025614405,0.14797769486904144,0.00025
36,0.07404864875634772,0.16026636958122253,0.00025
37,0.07375650066069082,0.1499648243188858,0.00025
38,0.06676674198027234,0.14594261348247528,0.00025
39,0.0673455722514275,0.14858362078666687,0.00025
40,0.07103648705260245,0.17638081312179565,0.00025
