variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2027,28,0.10080855339765549,15.309371261006163,0.015922352999041323,test,21267,21264,False,0.08162916451692581,0.28570818069653836,0.13642027974128723,21.290891647338867,10.166000366210938,16.027313232421875,21.290891647338867,10.166000366210938,21.290891647338867,10.166000366210938,21.290891647338867,10.166000366210938,21.290891647338867,10.166000366210938,0.0,0.0,0.9998692870140076,0.05007249861955643,0.0011079636169597507,0.0,0.0,input
st_station_bias_delta_forecast,2027,35,0.09248485416173935,16.48082535899448,0.018131853998056613,test,21268,21265,False,0.07717066258192062,0.27779608093333613,0.1347980946302414,20.701284408569336,10.04511547088623,16.650617599487305,21.427146911621094,10.354670524597168,22.200597763061523,12.039082527160645,22.48505973815918,12.376021385192871,21.214313507080078,10.127860069274902,0.11538722366094589,0.04804860319529943,0.9694039821624756,0.09257551282644272,0.019765736535191536,0.0,0.6328656673431396,forecast
degraded_patchtst,2028,28,0.10235059261322021,14.799098426003184,0.01533493799797725,test,21267,21264,False,0.08223961293697357,0.286774498407675,0.13533420860767365,21.37035369873047,10.085066795349121,16.187753677368164,21.37035369873047,10.085066795349121,21.37035369873047,10.085066795349121,21.37035369873047,10.085066795349121,21.37035369873047,10.085066795349121,0.0,0.0,0.9997712969779968,0.04853808507323265,0.0015208774711936712,0.0,0.0,input
st_station_bias_delta_forecast,2028,27,0.09932693839073181,14.672707639998407,0.03944553600013023,test,21268,21265,False,0.07880613952875137,0.2807243123221631,0.1343095898628235,20.919496536254883,10.008711814880371,17.111038208007812,21.329269409179688,10.219193458557129,21.424381256103516,11.171443939208984,21.695093154907227,11.491460800170898,21.188623428344727,10.068260192871094,0.10442747175693512,0.03780042387127955,0.9761368036270142,0.09591212868690491,0.016457628458738327,0.0,0.45023664832115173,forecast
degraded_patchtst,2029,28,0.10188193619251251,14.772930058003112,0.015434909000759944,test,21267,21264,False,0.0816141813993454,0.2856819584771593,0.13615936040878296,21.288938522338867,10.14655590057373,16.21585464477539,21.288938522338867,10.14655590057373,21.288938522338867,10.14655590057373,21.288938522338867,10.14655590057373,21.288938522338867,10.14655590057373,0.0,0.0,0.9999380111694336,0.05040723457932472,0.0006972812698222697,0.0,0.0,input
st_station_bias_delta_forecast,2029,40,0.09258553385734558,16.823022541000682,0.016064800998719875,test,21268,21265,False,0.07770884782075882,0.2787630675336294,0.1357942819595337,20.773344039916992,10.119351387023926,16.725162506103516,21.56085205078125,10.509841918945312,22.56875228881836,12.693531036376953,22.844188690185547,12.910896301269531,21.311399459838867,10.230169296264648,0.12365280091762543,0.05027412688484935,0.9112230539321899,0.19884517788887024,0.025703292340040207,0.0,0.8135892748832703,forecast
degraded_patchtst,2030,26,0.10022836178541183,13.893495222997444,0.015047515000333078,test,21267,21264,False,0.08164983242750168,0.2857443480237215,0.13545945286750793,21.29358673095703,10.094400405883789,16.317625045776367,21.29358673095703,10.094400405883789,21.29358673095703,10.094400405883789,21.29358673095703,10.094400405883789,21.29358673095703,10.094400405883789,0.0,0.0,0.9992688298225403,0.05023149773478508,0.0029424121603369713,0.0,0.0,input
st_station_bias_delta_forecast,2030,34,0.0932813361287117,16.63234574100352,0.0160136650010827,test,21268,21265,False,0.07767503708600998,0.278702416720792,0.1321457028388977,20.76882553100586,9.84745979309082,16.502601623535156,21.45866584777832,10.14416790008545,21.921552658081055,11.46332836151123,22.283811569213867,12.047773361206055,21.356130599975586,10.025768280029297,0.11768683046102524,0.04646431513304154,0.9729070663452148,0.03759634867310524,0.019398286938667297,0.0,0.6206335425376892,forecast
degraded_patchtst,2031,20,0.10220768302679062,11.257648703001905,0.015492022997932509,test,21267,21264,False,0.08350671082735062,0.28897527719054206,0.13717398047447205,21.53435516357422,10.222167015075684,16.77210807800293,21.53435516357422,10.222167015075684,21.53435516357422,10.222167015075684,21.53435516357422,10.222167015075684,21.53435516357422,10.222167015075684,0.0,0.0,0.9996516704559326,0.048568785190582275,0.0019304929301142693,0.0,0.0,input
st_station_bias_delta_forecast,2031,38,0.09798998385667801,16.880396717999247,0.039216771998326294,test,21268,21265,False,0.07969360053539276,0.28230055000901566,0.13364678621292114,21.036956787109375,9.959321022033691,16.42328643798828,21.37112045288086,10.123567581176758,21.4742374420166,10.618651390075684,22.009572982788086,11.63158130645752,21.26748275756836,9.992853164672852,0.10387443006038666,0.03092836805211035,0.9977201819419861,0.042942944914102554,0.002606508322060108,0.0,0.470187783241272,forecast
