block,BASE,UNIFORM,SIM,ISO,SEP,BLOCK,MMR,OARR,PERM5101,PERM5102,PERM5103,PERM5104,PERM5105
all,14.94990791960599,17.277144276512697,17.28428079526463,17.279556742383186,18.799996266521525,18.825589915263397,18.603730295055136,17.135124633653884,17.312953989592476,17.380724477657754,17.383541854873897,17.284206721469694,17.32770388096898
0,18.418504536597858,20.52564585286824,20.44980410736464,20.486547132124173,21.849274706592517,21.872757632275153,20.13378949316652,21.017057868714208,20.483798318019897,20.578697350009904,20.512610024504987,20.370669636662917,20.56167450520689
1,10.107562916049059,15.217329364975669,15.254714828587112,15.235537083632035,15.983543903818791,16.788460092413857,16.939938157462628,14.62366115878748,15.299556975081726,15.194620699814193,15.24863273784043,15.227442541300386,15.217016955290813
2,15.111410632343889,15.871357051249278,15.929729840383883,15.898409034471564,18.63276236109928,17.958181112929125,19.35104576883953,15.159094923766153,15.861535675031071,16.23491293814352,16.043141638986008,15.875682475093345,15.991861861817371
3,14.9746491929831,17.00675254356292,17.039024183312105,17.022124174206986,18.267871368888297,18.29877468660346,17.821368271911265,17.002459786505735,17.137758086914815,17.041908711449526,17.264986117604693,17.207519464389442,17.05630610252577
