task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
24h_1h,2060,F01,NO2,0,1,0.2169947475194931,0.02385694533586502
24h_1h,2060,F01,NO2,1,1,0.14497630298137665,0.11995231360197067
24h_1h,2060,F01,NO2,2,1,0.020829258486628532,0.007650231011211872
24h_1h,2060,F01,NO2,3,1,0.024726876989006996,0.009027814492583275
24h_1h,2060,F01,NO2,6,1,0.11443987488746643,0.03786086663603783
24h_1h,2060,F01,NO2,12,1,0.03173775598406792,0.0054171024821698666
24h_1h,2060,F01,CO,0,1,0.016695259138941765,0.009152822196483612
24h_1h,2060,F01,CO,1,1,0.00684148957952857,0.002251682337373495
24h_1h,2060,F01,CO,2,1,0.0016747453482821584,0.0008597311680205166
24h_1h,2060,F01,CO,3,1,0.001685973722487688,0.0008454547496512532
24h_1h,2060,F01,CO,6,1,0.009192343801259995,0.0051113879308104515
24h_1h,2060,F01,CO,12,1,0.0022938307374715805,0.0011126380413770676
24h_1h,2060,F01,O3,0,1,0.03337021917104721,0.008564776740968227
24h_1h,2060,F01,O3,1,1,0.02370375208556652,0.021912015974521637
24h_1h,2060,F01,O3,2,1,0.0032969119492918253,0.0016564329853281379
24h_1h,2060,F01,O3,3,1,0.004034139681607485,0.0019971225410699844
24h_1h,2060,F01,O3,6,1,0.017269345000386238,0.003775675082579255
24h_1h,2060,F01,O3,12,1,0.005142228677868843,0.0014373402809724212
24h_1h,2060,F01,SO2,0,1,0.02738422155380249,0.013169517740607262
24h_1h,2060,F01,SO2,1,1,0.016272051259875298,0.010308192111551762
24h_1h,2060,F01,SO2,2,1,0.002874847734346986,0.0021727518178522587
24h_1h,2060,F01,SO2,3,1,0.0033280018251389265,0.002416925970464945
24h_1h,2060,F01,SO2,6,1,0.01323146652430296,0.0050465427339077
24h_1h,2060,F01,SO2,12,1,0.003710035467520356,0.0014786345418542624
24h_1h,2060,F01,temperature,0,1,0.02082064189016819,0.012965221889317036
24h_1h,2060,F01,temperature,1,1,0.0084819495677948,0.0019100380595773458
24h_1h,2060,F01,temperature,2,1,0.0021171646658331156,0.001207589404657483
24h_1h,2060,F01,temperature,3,1,0.0021242129150778055,0.001081780414097011
24h_1h,2060,F01,temperature,6,1,0.012069369666278362,0.007270428817719221
24h_1h,2060,F01,temperature,12,1,0.003235681913793087,0.0016969414427876472
24h_1h,2060,F01,pressure_hPa_fixed,0,1,0.07249242067337036,0.03614512458443642
24h_1h,2060,F01,pressure_hPa_fixed,1,1,0.032545555382966995,0.006435018498450518
24h_1h,2060,F01,pressure_hPa_fixed,2,1,0.007221598643809557,0.0033147612120956182
24h_1h,2060,F01,pressure_hPa_fixed,3,1,0.007408299949020147,0.0028154514729976654
24h_1h,2060,F01,pressure_hPa_fixed,6,1,0.04301958903670311,0.02519482932984829
24h_1h,2060,F01,pressure_hPa_fixed,12,1,0.01117075514048338,0.005326082464307547
24h_1h,2060,F01,humidity_clean,0,1,0.013118396513164043,0.004533559549599886
24h_1h,2060,F01,humidity_clean,1,1,0.006781960371881723,0.0023765689693391323
24h_1h,2060,F01,humidity_clean,2,1,0.0013772425008937716,0.0008032433688640594
