history,horizon,station,seed,rmse_reduction_percent
24,1,9020,7001,1.0749720332316097
24,1,9020,7002,1.2168559712893452
24,1,9020,7003,1.2498037667265667
24,1,9020,7004,1.1666097470932193
24,1,9020,7005,1.3456365191122146
24,1,9026,7001,0.7909131467570454
24,1,9026,7002,0.8669042232945116
24,1,9026,7003,0.6860047662842642
24,1,9026,7004,0.7667430752679898
24,1,9026,7005,0.3845577590678871
24,1,9032,7001,0.913289168091135
24,1,9032,7002,1.7252445111108474
24,1,9032,7003,0.8422189000874369
24,1,9032,7004,1.0088848420438223
24,1,9032,7005,1.1512390544978026
24,1,9033,7001,7.025823659415211
24,1,9033,7002,6.764423493684547
24,1,9033,7003,6.035722516104748
24,1,9033,7004,7.059261182248318
24,1,9033,7005,6.446155951813682
24,1,9038,7001,4.4428936028873665
24,1,9038,7002,4.638125840021165
24,1,9038,7003,4.225116391552003
24,1,9038,7004,4.155299621691411
24,1,9038,7005,4.444912441209886
24,1,9039,7001,0.31994158145078977
24,1,9039,7002,1.0308223051817824
24,1,9039,7003,0.9502842689628277
24,1,9039,7004,1.0669681391419095
24,1,9039,7005,0.6933674400602683
24,1,9045,7001,2.338426760660104
24,1,9045,7002,0.26650382560726754
24,1,9045,7003,0.9877056474632543
24,1,9045,7004,0.8654953505462621
24,1,9045,7005,1.3497858069328779
24,1,9046,7001,1.0830332522428536
24,1,9046,7002,1.8912431369435816
24,1,9046,7003,1.9423602871167145
24,1,9046,7004,1.0292753409408835
24,1,9046,7005,2.046380413630222
168,6,9020,7001,1.032023832448733
168,6,9020,7002,0.5844266880842478
168,6,9020,7003,-0.12537421252812858
168,6,9020,7004,0.6473864783762735
168,6,9020,7005,0.029635638318198994
168,6,9026,7001,1.6696302905676579
168,6,9026,7002,2.037478881430433
168,6,9026,7003,1.7914116874743764
168,6,9026,7004,0.45671707361782526
168,6,9026,7005,1.6878283221945978
168,6,9032,7001,0.6892239844987629
168,6,9032,7002,2.4346247973633903
168,6,9032,7003,1.6206131760933076
168,6,9032,7004,1.0016197237779967
168,6,9032,7005,1.9085011584034488
168,6,9033,7001,5.770565156284712
168,6,9033,7002,4.864294383252323
168,6,9033,7003,5.233460529263166
168,6,9033,7004,5.362832595082593
168,6,9033,7005,5.1904117823453655
168,6,9038,7001,3.5548320058865577
168,6,9038,7002,4.646795634821748
168,6,9038,7003,3.2527334328815116
168,6,9038,7004,3.5885884975396527
168,6,9038,7005,2.7482528980415353
168,6,9039,7001,0.16173693505564485
168,6,9039,7002,0.7290021493793287
168,6,9039,7003,-0.3035934534173089
168,6,9039,7004,0.14018886904456318
168,6,9039,7005,0.8802603577961263
168,6,9045,7001,0.8782813616524902
168,6,9045,7002,0.9108782532123851
168,6,9045,7003,1.317229463274819
168,6,9045,7004,1.7994280106111904
168,6,9045,7005,1.8563622304776086
168,6,9046,7001,-0.06623697297333794
168,6,9046,7002,0.9462919540249867
168,6,9046,7003,0.9659196761443434
168,6,9046,7004,0.48555234310688944
168,6,9046,7005,0.5168193257671738
