history,horizon,station,seed,arm,sse,element_count,rmse,mae,smape_percent
24,1,9020,7001,degraded_patchtst,65607.16375602584,1728,6.161745585068207,4.297419044706556,17.894894936083077
24,1,9020,7001,st_sparse_station_bias_delta_forecast,64204.22776505866,1728,6.09550854326984,4.376896391312282,19.086523273258322
24,1,9020,7002,degraded_patchtst,65967.09162779877,1728,6.178624462416269,4.304580616730231,18.019334162593093
24,1,9020,7002,st_sparse_station_bias_delta_forecast,64371.410641614064,1728,6.103439501701812,4.399256806682657,19.209700219836623
24,1,9020,7003,degraded_patchtst,67013.10226196001,1728,6.227417641018731,4.340897209114498,17.95791890535176
24,1,9020,7003,st_sparse_station_bias_delta_forecast,65348.505219355786,1728,6.149587140771485,4.403668103394685,19.271201735334465
24,1,9020,7004,degraded_patchtst,65892.15782275071,1728,6.1751142319033105,4.304887942693852,17.86230178978239
24,1,9020,7004,st_sparse_station_bias_delta_forecast,64363.71693099715,1728,6.103074747379786,4.388847900761498,19.192582905093385
24,1,9020,7005,degraded_patchtst,66410.52338632074,1728,6.1993560833819865,4.342563327815798,18.508328178321936
24,1,9020,7005,st_sparse_station_bias_delta_forecast,64635.26007933015,1728,6.115935283974194,4.40460987885793,19.231506903677516
24,1,9026,7001,degraded_patchtst,109495.90335564256,1728,7.960256579551513,4.554305671541779,15.31551865892942
24,1,9026,7001,st_sparse_station_bias_delta_forecast,107770.71781226182,1728,7.897297863748247,4.568875381240138,15.447934153391923
24,1,9026,7002,degraded_patchtst,107821.27869120183,1728,7.899150164205497,4.597528075730359,15.627970791341065
24,1,9026,7002,st_sparse_station_bias_delta_forecast,105959.96727038684,1728,7.830672097827624,4.602315859662162,15.481909855381382
24,1,9026,7003,degraded_patchtst,107784.30433807112,1728,7.8977956495194865,4.595696544205701,15.497689481878593
24,1,9026,7003,st_sparse_station_bias_delta_forecast,106310.56576467262,1728,7.843616394932392,4.615468972259098,15.520916036222202
24,1,9026,7004,degraded_patchtst,106354.38703232122,1728,7.845232799652375,4.609680697873786,15.442159513674333
24,1,9026,7004,st_sparse_station_bias_delta_forecast,104729.70975732835,1728,7.785080020422387,4.582395119799508,15.390052583359365
24,1,9026,7005,degraded_patchtst,105819.97122283254,1728,7.825497381794497,4.566425384194763,15.328721760260105
24,1,9026,7005,st_sparse_station_bias_delta_forecast,105007.6583180239,1728,7.795403824427152,4.615125596523285,15.649825886196615
24,1,9032,7001,degraded_patchtst,73148.69198754386,1728,6.506259983606025,3.859837611516317,10.289188815298395
24,1,9032,7001,st_sparse_station_bias_delta_forecast,71818.67513771757,1728,6.446839015927903,3.8668444642314204,10.358572959530196
24,1,9032,7002,degraded_patchtst,69644.17328488723,1728,6.348491239762939,3.7362482106244124,10.209033535093063
