history,horizon,station,base_rmse,base_mae,base_smape_percent,spatial_rmse,spatial_mae,spatial_smape_percent,mean_rmse_reduction_percent
24,1,9020,6.1884940171897656,4.318069628212187,18.04855559442645,6.1135391701340565,4.39465581620181,19.198303007440064,1.210775607490591
24,1,9026,7.885727882747968,4.5847272747092775,15.442412041216702,7.8305152948395955,4.596836185896838,15.498127702910297,0.6990245941343397
24,1,9032,6.412102132304448,3.7833038606025555,10.13424906228731,6.339944283789189,3.7704399276662754,10.079583133754582,1.128175295166209
24,1,9033,10.554525624975586,5.634406894003903,16.075267164702968,9.852110661287064,5.160893922602689,14.76033087929523,6.666277360653301
24,1,9038,7.420045769536159,5.113779448138343,17.73807194061472,7.094860596399221,4.93514490282094,17.101594876262055,4.381269579472367
24,1,9039,5.831920811876428,3.4089273439513312,8.74511661934356,5.78463938057237,3.398765338350225,8.793890628431834,0.8122767469595156
24,1,9045,15.587685033948164,10.085578459501267,28.92990342015991,15.405793786792282,9.988472695924617,28.570808188291497,1.1615834782419532
24,1,9046,9.832634806020822,5.460904425161856,15.530200191317517,9.675562454882817,5.438707516149238,15.697584423311001,1.5984584861748512
168,6,9020,12.290696720212827,8.36690996366134,32.61748375689488,12.23800503211763,8.40950724980437,32.59172383075032,0.4336196849398649
168,6,9026,13.640143449798508,9.11090144225256,31.321565987423682,13.430507774300233,9.027436845001098,30.626358287774014,1.528613251056978
168,6,9032,14.79041645987704,9.142085426407876,23.86499931541641,14.563582836979206,9.104927558649283,23.756434210841597,1.5309165680273813
168,6,9033,16.4425266034732,10.207895574112696,27.853631038475058,15.573878844810404,9.52395536846719,25.948408241203285,5.284312889245632
168,6,9038,11.533215694676871,8.308613529370408,27.693991646981807,11.121049812987463,8.013526572238954,26.61571227460075,3.5582404938342007
168,6,9039,11.78833268941214,7.704814346737064,21.960119046729666,11.75055306068408,7.673663303301962,21.70750535552406,0.32151897157167086
168,6,9045,18.99699766250162,13.056126635734456,36.29476908038625,18.74008036133046,12.803974486373763,35.62847896348719,1.3524358638456986
168,6,9046,16.858597955708014,11.349203593604596,33.318892432672556,16.761462446984158,11.408263087177016,33.29124069562133,0.5696692652140112
