history,horizon,station,seed,quantile_bin,count,base_smape_percent,spatial_smape_percent,smape_change_percent_points,base_rmse,spatial_rmse,base_mae,spatial_mae
24,1,9020,7001,1,616,26.76389984699753,32.573931253560545,5.8100314065630165,4.787280324051092,5.296004041253586,3.137003167883142,3.8916073402801117
24,1,9020,7001,2,341,15.963926645386653,13.543982760996146,-2.4199438843905074,5.246394914495483,4.814034403345958,3.9555135094874765,3.562432381414598
24,1,9020,7001,3,340,13.395949083718051,11.753895954966621,-1.6420531287514297,5.995129090792465,5.359078405874104,4.697664945265826,4.211266186658074
24,1,9020,7001,4,280,9.914208618180947,9.01415230710505,-0.9000563110758968,6.202024383428469,5.68586228731557,4.754896531786238,4.3233082975660055
24,1,9020,7001,5,151,11.00341759052601,11.76943822396914,0.7660206334431301,11.250715851204214,11.568221515825792,8.053900270272564,8.668215720069329
24,1,9020,7002,1,616,27.070069409903162,32.88590860494919,5.815839195046031,4.79401160258037,5.3760425476894635,3.134007063778964,3.9551687705052365
24,1,9020,7002,2,341,15.930454068835934,14.00397939239185,-1.9264746764440837,5.2530248184215145,5.002359897791936,3.951808912663166,3.72425512274689
24,1,9020,7002,3,340,13.488479328020803,11.730826048863333,-1.75765327915747,6.025152787308562,5.4813979312803385,4.746989738239962,4.259507566339829
24,1,9020,7002,4,280,10.044029944982082,8.947684651381575,-1.096345293600507,6.311270728516329,5.734441813794086,4.836965840203422,4.352733489445278
24,1,9020,7002,5,151,10.80497008520135,11.042733426642279,0.23776334144092814,11.18903181193437,11.102119521632503,7.893199794339818,8.136177833506602
24,1,9020,7003,1,616,26.937505481111245,33.06854300911451,6.131037528003262,4.935528614416621,5.455072329291145,3.2015188204777707,3.970808927114908
24,1,9020,7003,2,341,16.144724210329596,13.650942016900688,-2.493782193428908,5.4250256814355655,4.935423709410047,4.071750187803923,3.6262454091628626
24,1,9020,7003,3,340,13.32295215131151,11.859029701885454,-1.4639224494260556,6.08101087405529,5.495000843686353,4.741927040324492,4.2848436075098375
24,1,9020,7003,4,280,9.9259200751432,9.083424943739972,-0.8424951314032274,6.2750330122334335,5.825468987240151,4.79971387045724,4.38906878062657
24,1,9020,7003,5,151,10.750782674668294,11.258369499284989,0.5075868246166948,11.03087200126701,11.200478442962309,7.842999287788442,8.21976433052922
24,1,9020,7004,1,616,26.61260174352444,32.85327319992318,6.24067145639874,4.780801837528413,5.294057643774938,3.132160437571538,3.908661213788119
24,1,9020,7004,2,341,16.0248699719504,13.37673745599026,-2.6481325159601425,5.289207465436139,4.767884268293336,3.9842220149781347,3.521152060052866
24,1,9020,7004,3,340,13.37474949741518,11.834285906322076,-1.5404635910931042,6.001813512441794,5.385378395982896,4.6914108164170205,4.234398656732896
24,1,9020,7004,4,280,10.009109863496722,9.176386800833695,-0.8327230626630264,6.267016724310705,5.777933108413605,4.79285250391279,4.403243098940168
24,1,9020,7004,5,151,10.981778592036997,11.739430357437563,0.7576517654005652,11.225727944473737,11.548559582410697,8.037996355271497,8.62832716127105
24,1,9020,7005,1,616,27.81925935647865,32.83925564787424,5.019996291395589,4.8285686952324856,5.415895572853539,3.130219279945671,3.9330619124623087
24,1,9020,7005,2,341,16.481273277150173,13.829541178376061,-2.6517320987741115,5.272211910218968,4.931262654090949,4.009910672990458,3.6487168958110194
24,1,9020,7005,3,340,13.608319300200755,11.729977465486852,-1.8783418347139023,6.017392045374915,5.358929888452953,4.713688541861141,4.215970134735107
