history,horizon,station,seed,lead,base_rmse,base_mae,base_smape_percent,spatial_rmse,spatial_mae,spatial_smape_percent,rmse_reduction_percent
24,1,9020,7001,1,6.161745585068207,4.297419044706556,17.894894936083077,6.09550854326984,4.376896391312282,19.086523273258322,1.0749720332316097
24,1,9020,7002,1,6.178624462416269,4.304580616730231,18.019334162593093,6.103439501701812,4.399256806682657,19.209700219836623,1.2168559712893452
24,1,9020,7003,1,6.227417641018731,4.340897209114498,17.95791890535176,6.149587140771485,4.403668103394685,19.271201735334465,1.2498037667265667
24,1,9020,7004,1,6.1751142319033105,4.304887942693852,17.86230178978239,6.103074747379786,4.388847900761498,19.192582905093385,1.1666097470932193
24,1,9020,7005,1,6.1993560833819865,4.342563327815798,18.508328178321936,6.115935283974194,4.40460987885793,19.231506903677516,1.3456365191122146
24,1,9026,7001,1,7.960256579551513,4.554305671541779,15.31551865892942,7.897297863748247,4.568875381240138,15.447934153391923,0.7909131467570454
24,1,9026,7002,1,7.899150164205497,4.597528075730359,15.627970791341065,7.830672097827624,4.602315859662162,15.481909855381382,0.8669042232945116
24,1,9026,7003,1,7.8977956495194865,4.595696544205701,15.497689481878593,7.843616394932392,4.615468972259098,15.520916036222202,0.6860047662842642
24,1,9026,7004,1,7.845232799652375,4.609680697873786,15.442159513674333,7.785080020422387,4.582395119799508,15.390052583359365,0.7667430752679898
24,1,9026,7005,1,7.825497381794497,4.566425384194763,15.328721760260105,7.795403824427152,4.615125596523285,15.649825886196615,0.3845577590678871
24,1,9032,7001,1,6.506259983606025,3.859837611516317,10.289188815298395,6.446839015927903,3.8668444642314204,10.358572959530196,0.913289168091135
24,1,9032,7002,1,6.348491239762939,3.7362482106244124,10.209033535093063,6.238964243110576,3.6645325091150074,9.82165836204768,1.7252445111108474
24,1,9032,7003,1,6.330887385933249,3.7326989383609206,9.962177722641082,6.277567455825667,3.741629590590795,10.000258759941708,0.8422189000874369
24,1,9032,7004,1,6.436944231428435,3.8103285652619823,10.13440354368605,6.372002876786739,3.797847746698945,10.100019532692016,1.0088848420438223
24,1,9032,7005,1,6.436312814648451,3.7774059772491455,10.076441694717959,6.362215467856571,3.781345327695211,10.11740605456131,1.1512390544978026
24,1,9033,7001,1,10.275348060187046,5.6767542329099445,16.142693651994737,9.553420225087162,5.162916595185244,14.722195970723941,7.025823659415211
24,1,9033,7002,1,10.641921927186358,5.641906859698119,16.127507839403833,9.922057260164197,5.143416044888673,14.785716928771429,6.764423493684547
24,1,9033,7003,1,10.744231850615648,5.657682104243173,16.017851123779835,10.095739829625542,5.199268094919346,14.728996856310156,6.035722516104748
24,1,9033,7004,1,10.4506410945703,5.590973711676067,15.959899323230115,9.712903044485207,5.12017978893386,14.749277354270488,7.059261182248318
24,1,9033,7005,1,10.653748562440668,5.604717561492214,16.12838388510631,9.966991315391635,5.178689089086321,14.815467286400139,6.446155951813682
24,1,9038,7001,1,7.410887737979632,5.100851551250175,17.702403913811636,7.081629880751771,4.912131297367591,16.977449306357556,4.4428936028873665
24,1,9038,7002,1,7.501541910037658,5.163025429955235,17.80546967000019,7.153610956308184,5.011839497972418,17.40979973185974,4.638125840021165
24,1,9038,7003,1,7.381638875501025,5.110860677780928,17.771773046397165,7.069756041407056,4.932705562423776,17.095549678692727,4.225116391552003
24,1,9038,7004,1,7.413527695890294,5.108474553735168,17.7194790205709,7.105473407588977,4.937538853398076,17.07765895271028,4.155299621691411
24,1,9038,7005,1,7.392024258011365,5.085685027970208,17.691234052293712,7.063455252109765,4.881509302942841,16.947516711689996,4.444912441209886
24,1,9039,7001,1,5.887643989638746,3.4586340144828513,8.85517140819902,5.868806968348103,3.4491116912276656,8.839450147752194,0.31994158145078977
24,1,9039,7002,1,5.814621853757611,3.3696645432048373,8.64222102165715,5.754683434727103,3.3806575260780476,8.828033074836721,1.0308223051817824
24,1,9039,7003,1,5.810628834898741,3.368104988778079,8.625943581350977,5.75541134315288,3.3782621611047676,8.792622129222599,0.9502842689628277
24,1,9039,7004,1,5.873258592863756,3.4867025823504836,9.027837451161602,5.8105927949484855,3.445448395278719,8.937155745114252,1.0669681391419095
24,1,9039,7005,1,5.772672584986748,3.3615305909404047,8.57440963434905,5.732646752861164,3.3403469180619276,8.572192045233407,0.6933674400602683
24,1,9045,7001,1,15.619871380704456,10.145467653318688,29.383932732917216,15.254612128357374,9.910292903582254,28.418476084769217,2.338426760660104
24,1,9045,7002,1,15.303332866989177,9.880446687892631,28.04190140999816,15.262548899453236,9.88755065313092,28.08395503690025,0.26650382560726754
24,1,9045,7003,1,15.821480820456774,10.281275635516202,29.15296414836473,15.665211160880807,10.211722601343084,29.010006844435527,0.9877056474632543
24,1,9045,7004,1,15.49166624064374,10.011358309675146,28.780129323363614,15.357586589608824,9.943688463281703,28.627499569629002,0.8654953505462621
24,1,9045,7005,1,15.697014574009101,10.109344011103666,29.290589486155817,15.48513849917694,9.989108858285126,28.714103405723495,1.3497858069328779
24,1,9046,7001,1,9.848994182680356,5.409658441940944,15.281483633875634,9.742326300670463,5.4348674813906355,15.493377125880922,1.0830332522428536
24,1,9046,7002,1,9.851052269330062,5.490412526660496,15.690326469894838,9.664744919369632,5.443778541353014,15.799643014032569,1.8912431369435816
24,1,9046,7003,1,9.820519171226815,5.530872080061171,15.79291877880586,9.629769306856222,5.450454204170792,15.793516477448433,1.9423602871167145
