history,horizon,station,seed,arm,peak_threshold_ugm3,coverage_count,sse,element_count,rmse,mae,smape_percent
24,1,9020,7001,degraded_patchtst,71.0,91,13960.37863463159,91,12.385909503412366,8.724927503984054,10.422526324842185
24,1,9020,7001,st_sparse_station_bias_delta_forecast,71.0,91,15347.282454086948,91,12.986587524804852,9.73572024670276,11.649499423076591
24,1,9020,7002,degraded_patchtst,71.0,91,13502.487189638778,91,12.181091088483027,8.331147665505881,9.913877157205752
24,1,9020,7002,st_sparse_station_bias_delta_forecast,71.0,91,13846.600960621508,91,12.33533340111729,8.96863291813777,10.70838933051447
24,1,9020,7003,degraded_patchtst,71.0,91,13111.284190199935,91,12.003334788555767,8.146641448303894,9.71026292666825
24,1,9020,7003,st_sparse_station_bias_delta_forecast,71.0,91,14010.231514718573,91,12.408004999750382,8.949546269008092,10.796740527866005
24,1,9020,7004,degraded_patchtst,71.0,91,14005.775114081305,91,12.406031462085533,8.737803700206044,10.456265898027654
24,1,9020,7004,st_sparse_station_bias_delta_forecast,71.0,91,15289.21268170957,91,12.961995454891683,9.6908324105399,11.633413281777823
24,1,9020,7005,degraded_patchtst,71.0,91,13324.84773991155,91,12.10069825426559,8.599140292995578,10.346053183952124
24,1,9020,7005,st_sparse_station_bias_delta_forecast,71.0,91,14376.309293973783,91,12.569066027867732,9.389912867284083,11.290088167921954
24,1,9026,7001,degraded_patchtst,74.0,74,39190.90629139179,74,23.013188431322696,15.268953271814295,16.093355518746183
24,1,9026,7001,st_sparse_station_bias_delta_forecast,74.0,74,38589.2707837084,74,22.835862852370518,15.085189922435864,15.798571863254757
24,1,9026,7002,degraded_patchtst,74.0,74,37338.146438330645,74,22.462625546981982,15.240215713913376,16.30129679503756
24,1,9026,7002,st_sparse_station_bias_delta_forecast,74.0,74,36540.552137161285,74,22.221414111095047,14.996124267578125,15.930529283042198
24,1,9026,7003,degraded_patchtst,74.0,74,37043.80897406975,74,22.373913675597855,15.23094960805532,16.1505388256915
24,1,9026,7003,st_sparse_station_bias_delta_forecast,74.0,74,36071.61355788539,74,22.078365819705077,14.865588368596258,15.645618624886804
24,1,9026,7004,degraded_patchtst,74.0,74,35841.82759200332,74,22.0079308776077,15.004309731560785,15.919445698058448
