history,horizon,station,seed,block,base_rmse,base_mae,base_smape_percent,spatial_rmse,spatial_mae,spatial_smape_percent,rmse_reduction_percent
24,1,9020,7001,1,5.4305353934435106,4.035974286747271,18.706840328933552,5.42873404057037,4.130017697628849,20.673999952068435,0.03317081544695781
24,1,9020,7001,2,6.977797197054314,4.513758254526687,21.59667002319338,7.167687358740445,4.921752864479,25.05171795986392,-2.721348246783292
24,1,9020,7001,3,6.073406790551273,4.6073348944527766,17.625411938754933,5.9527874306702175,4.560238985334124,17.292805405405844,1.9860247146413652
24,1,9020,7001,4,5.498827351565208,3.864245594569615,19.092552586956288,5.2253004627717985,3.8505644062587194,20.155494922522745,4.974276719481875
24,1,9020,7001,5,6.629038134384985,4.4479834256853374,12.495779713858516,6.453231766573895,4.404127813066755,12.345874609076471,2.6520645114285677
24,1,9020,7002,1,5.37421158089744,3.9689028853670174,18.555822982808788,5.389176960898202,4.108578066577969,20.689167498601226,-0.27846652063264266
24,1,9020,7002,2,6.968154321278526,4.5172708788488665,22.186344702714315,7.07791737644568,4.871617629657104,25.02972206037129,-1.5752098777716936
24,1,9020,7002,3,6.171792443709001,4.6909147644042966,17.760468654329532,6.070496098083291,4.6669830703735355,17.48734672835895,1.6412791996750107
24,1,9020,7002,4,5.526930079864835,3.8681876264299664,19.146793862395032,5.349470610715602,3.971528369358608,20.591648147835393,3.210814441017371
24,1,9020,7002,5,6.645400108938377,4.454960419791085,12.470589845931626,6.409043273842199,4.3571255493164065,12.331210165647837,3.556698336015414
24,1,9020,7003,1,5.41487075833164,4.075477366782839,18.800523869014725,5.402787250166823,4.1412876957417994,20.90892078016417,0.22315413800457037
24,1,9020,7003,2,6.968812591130207,4.547865723612642,22.159257369720265,7.036017289365808,4.818351799945885,24.964456552476125,-0.9643636897502197
24,1,9020,7003,3,6.1456197649410855,4.701999440874372,17.616177578240777,6.008350698571275,4.608627891540527,17.44473597310835,2.2336081895741358
24,1,9020,7003,4,5.562756655812393,3.838041501726423,18.61046308672246,5.430313252232686,3.9690836225237165,20.710961624632994,2.3808951527893973
24,1,9020,7003,5,6.830517557726684,4.523068798610142,12.64653998220308,6.648499698913189,4.462562555585588,12.41828884118765,2.6647740420137915
24,1,9020,7004,1,5.422245630591282,4.033956241899309,18.55768897640108,5.401607291534627,4.110732314783498,20.645063096770134,0.3806234623569447
24,1,9020,7004,2,6.954591303113657,4.521970390254616,21.956785404990566,7.116913632871234,4.900700148014601,25.147937595476655,-2.334031184332911
24,1,9020,7004,3,6.104499250521773,4.645921238490513,17.521929025174302,5.966505654622484,4.590084539140974,17.371421051858093,2.2605227756804793
24,1,9020,7004,4,5.511836147205288,3.8585074506487165,18.867998784379758,5.256935965873619,3.8809660339355467,20.500182600517046,4.624596496049925
