variant,seed,rmse_difference_ugm3,mae_difference_ugm3,rmse_relative_change_percent
st_center_only,2024,0.11343002319335938,0.30680274963378906,0.5300633348586548
st_center_only,2025,-0.06393051147460938,0.13684749603271484,-0.29551604350234184
st_center_only,2026,0.322418212890625,0.4565887451171875,1.4986074670617189
st_pairwise,2024,-0.1843738555908203,0.21216106414794922,-0.8615868885843758
st_pairwise,2025,0.09033584594726562,0.17594242095947266,0.4175735680040038
st_pairwise,2026,-0.0322723388671875,-0.0018548965454101562,-0.1500025931299387
st_pairwise_delta,2024,-0.047031402587890625,-0.03623199462890625,-0.21977974963754976
st_pairwise_delta,2025,-0.25157928466796875,-0.051161766052246094,-1.162914438151419
st_pairwise_delta,2026,-0.01854705810546875,-0.008543014526367188,-0.08620716404228457
st_pairwise_delta_forecast,2024,-0.7885646820068359,-0.23244190216064453,-3.6849963821639853
st_pairwise_delta_forecast,2025,-0.8807563781738281,-0.1586170196533203,-4.071258529986221
st_pairwise_delta_forecast,2026,-0.07096290588378906,0.3950166702270508,-0.3298372622576373
st_sparse_delta_forecast,2024,-0.8851757049560547,-0.1339263916015625,-4.1364638117463155
st_sparse_delta_forecast,2025,-0.7129573822021484,-0.03488636016845703,-3.295614878004638
st_sparse_delta_forecast,2026,-0.13893508911132812,0.26048755645751953,-0.6457735749864524
st_confident_delta_forecast,2024,-0.7714786529541016,-0.21779251098632812,-3.6051526398794054
st_confident_delta_forecast,2025,-0.8611831665039062,-0.15642261505126953,-3.980782199703359
st_confident_delta_forecast,2026,-0.11335182189941406,0.3665294647216797,-0.5268619448651868
st_station_bias_delta_forecast,2024,-0.8225822448730469,-0.23623275756835938,-3.8439619038926676
st_station_bias_delta_forecast,2025,-0.8800678253173828,-0.15541648864746094,-4.068075723980358
st_station_bias_delta_forecast,2026,-0.06321525573730469,0.4005270004272461,-0.2938260014246685
st_sparse_station_bias_delta_forecast,2024,-0.9171371459960938,-0.21393489837646484,-4.285820988511524
st_sparse_station_bias_delta_forecast,2025,-0.711639404296875,0.008356094360351562,-3.2895225817441087
st_sparse_station_bias_delta_forecast,2026,-0.05373191833496094,0.30553150177001953,-0.24974722524014892
