variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,21,0.12237127870321274,27,3015,11.973937983684333,8.358225030438014,32.63198666319482,9474
st_time,7001,9,0.10955418646335602,15,3015,11.923744269796899,8.27865868730084,32.23012694071308,9474
st_rfft,7002,6,0.10412999987602234,12,3015,12.160646792362444,8.474214351501852,33.11456176162299,9474
st_time,7002,2,0.10144039988517761,8,3015,12.154110490578743,8.448624562381667,32.975972497240456,9474
st_rfft,7003,4,0.1033511534333229,10,3015,12.376612688740662,8.581627677255526,32.97992596066972,9474
st_time,7003,4,0.10371366143226624,10,3015,12.345130329673442,8.560289002028552,32.911722236892814,9474
st_rfft,7004,4,0.10350245237350464,10,3015,12.264651830731196,8.52347287050601,32.951815758302814,9474
st_time,7004,4,0.10343559086322784,10,3015,12.236938104199286,8.495482706283752,32.86005986504061,9474
st_rfft,7005,8,0.10651605576276779,14,3015,12.095636648019036,8.320937790648204,32.060728819956424,9474
st_time,7005,3,0.10263319313526154,9,3015,12.102161516728046,8.327037661896492,32.08931350763496,9474
