epoch,train_loss,valid_loss,learning_rate
1,0.6388596237603705,1.054060935974121,0.001
2,0.5052335414994616,0.9362183809280396,0.001
3,0.4780387992610591,0.9170761704444885,0.001
4,0.46845207417657375,0.891975998878479,0.001
5,0.4646831116271093,0.8906763195991516,0.001
6,0.4597846357545623,0.8829022645950317,0.001
7,0.4564847827777547,0.8876570463180542,0.001
8,0.45614000216470485,0.8919601440429688,0.001
9,0.4566214082819634,0.8794885873794556,0.001
10,0.45322855884907426,0.8789493441581726,0.001
11,0.45379266732352364,0.8823897242546082,0.001
12,0.4522948602578323,0.8868305683135986,0.001
13,0.4492906629307211,0.8712134957313538,0.001
14,0.4500564155239744,0.8797310590744019,0.001
15,0.4488035366756545,0.8754698038101196,0.001
16,0.4494778444124006,0.8745056390762329,0.001
17,0.4502888697931375,0.8758469223976135,0.0005
18,0.4488055203039829,0.8848673701286316,0.0005
19,0.44865064515953507,0.8735658526420593,0.0005
20,0.44646442575288403,0.8753843307495117,0.0005
21,0.44554513364918047,0.8796868920326233,0.00025
