variant,seed,q90_ugm3,peak_element_count,non_peak_element_count,peak_rmse_ugm3,peak_mae_ugm3,non_peak_rmse_ugm3,non_peak_mae_ugm3,threshold_precision,threshold_recall,threshold_f1
locked_st_clean,2052,187.0,1152,4074,68.75965118408203,53.69255828857422,43.8930892944336,27.237178802490234,0.8514957264957265,0.6918402777777778,0.7634099616858238
st_time_residual_adapter,2052,187.0,1152,4074,65.79412078857422,50.4279670715332,44.38898849487305,27.078067779541016,0.8459979736575481,0.7248263888888888,0.7807386629266013
st_causal_filterbank_residual,2052,187.0,1152,4074,68.16544342041016,53.0970573425293,43.98027801513672,27.204973220825195,0.8518518518518519,0.6987847222222222,0.7677634716261327
