task,variant,seed,epoch,stage,patchtst_persistent_state_sha256,patchtst_complete_state_sha256,expected_persistent_state_sha256,expected_complete_state_sha256,persistent_tensor_count,complete_parameter_buffer_count,persistent_changed_tensor_count,complete_changed_tensor_count,persistent_changed_tensors_json,complete_changed_tensors_json,persistent_state_equal,all_parameters_and_buffers_equal,patchtst_eval,invariant_required,source_f00_checkpoint_patchtst_sha256,checkpoint_patchtst_sha256
168h_6h,F00,2060,12,epoch_after_validation,f93ed725635e1bbfe32728c6cb1d88f1da114b137e69c52d21ad98528cabcd7c,6b53b86a080d921520f0dfe7b0fe6ef5433383485079354b95441c9886447cf8,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,13,epoch_after_validation,8bd539c656d7bbf0200af7e5e7c3047fba4cf2eedc79cdbb599e408f7daadd4a,6bc30dc70784a0b5fbf95cf0fcd7229142850d4ce81fe20fdb6fa88f3b87fc06,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,14,epoch_after_validation,ec05cc6f56a4f5618700fa79300f11d404d13930927b50033febbe95a00572ba,1005d7edfcadcf4b2db64420cf8af3ff67f71982b7ad36103a73593eca581349,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,8,final_best_checkpoint_loaded,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,,,76,76,0,0,[],[],True,True,True,False,,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,,f10_after_f00_checkpoint_initialization,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
168h_6h,F10,2060,1,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
168h_6h,F10,2060,1,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,2,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
168h_6h,F10,2060,2,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,3,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
168h_6h,F10,2060,3,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,4,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
