task,seed,variant,base_variant,best_epoch,best_validation_loss,training_seconds,trainable_parameter_count,checkpoint_sha256,base_state_before_sha256,base_state_after_sha256,base_state_unchanged,source_f00_checkpoint_patchtst_sha256,patchtst_initial_state_sha256,patchtst_checkpoint_state_sha256,patchtst_final_loaded_state_sha256,patchtst_initial_complete_state_sha256,patchtst_final_loaded_complete_state_sha256,patchtst_state_unchanged,patchtst_locked_eval,initial_adapter_state_sha256,base_checkpoint_sha256,base_eval_during_adapter,base_parameters_require_grad,base_gradients_none
168h_6h,2061,B1,F10,19,0.4548419117927551,3.630602875004115,6547,27172f9270f8f3cb972e565fb8f477ea7803a6c738e0ddda7c8ec0b3a9b0a9ef,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,True,,,,,,,,,ad413ab28afd324d6071799424fbd8e850e2b831dfd3699b635a6dc71ade8bae,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,True,False,True
168h_6h,2061,B2,F10,30,0.4532223641872406,4.4470837129993015,6547,223f1f872f590a287a2744a58096a5066da0d9799ade197b8598fcb0614a1587,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,True,,,,,,,,,ad413ab28afd324d6071799424fbd8e850e2b831dfd3699b635a6dc71ade8bae,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,True,False,True
168h_6h,2061,B_flat,F10,10,0.4535830020904541,1.6454825050022919,6540,df260948a9db94580191e82196a74648834c2f9cb015ebf7bf3537fdf99690d8,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,True,,,,,,,,,5b25ad80dfdbe99bde73dfa1bc6e31ceb06dd59d5e542bb70d361e3eb4eac4ca,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,True,False,True
168h_6h,2061,B3,F10,30,0.45496973395347595,4.178961026998877,6547,1381ef5c995199be8ef6da140803d63d60b084004befaf46ea85aa17129f0b13,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,True,,,,,,,,,ad413ab28afd324d6071799424fbd8e850e2b831dfd3699b635a6dc71ade8bae,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,True,False,True
168h_6h,2062,F00,F00,30,0.47685280442237854,53.074389959001564,31089,5e7a2ab596acc4a0b5dfef22cbffe1f39d35b92cd9ccd60fd400602d1a9b8793,ec43cd357de39d9871eab4c9ea6ac20c57cdee25f457d22454a7454abc1727ec,334c01a14216dbb675c1c3a3137cf17826ed301b4a5a63f56e08bcdc290b40fb,False,,019159bf0e8979a79f5e67d716d53e607cdff9ca529d5b64a900bd1f52884a51,ea61b7e08b567cca74b1084a4bfef27ce4171b4c4884f674f4458e58aceb61f7,ea61b7e08b567cca74b1084a4bfef27ce4171b4c4884f674f4458e58aceb61f7,72b672412ba16979de4cfb98bcc2b3d8b2e456631772ac6fcd1a346f9592cedb,35578d22b662483d70f16ed68d763f3ce88261b8390e42435059efbb8a48b0d0,False,False,,,,,
168h_6h,2062,F10,F10,30,0.46754881739616394,34.82569232599781,5418,7260e8bed20c1e28afc714c8cbafe7faf0172df5a4b913714fdc68da2a4f3b2f,1922d6c840ef27f5ef5c3667dc363bb8023feb976edefde9ff7619ae860626a9,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,False,ea61b7e08b567cca74b1084a4bfef27ce4171b4c4884f674f4458e58aceb61f7,ea61b7e08b567cca74b1084a4bfef27ce4171b4c4884f674f4458e58aceb61f7,ea61b7e08b567cca74b1084a4bfef27ce4171b4c4884f674f4458e58aceb61f7,ea61b7e08b567cca74b1084a4bfef27ce4171b4c4884f674f4458e58aceb61f7,35578d22b662483d70f16ed68d763f3ce88261b8390e42435059efbb8a48b0d0,35578d22b662483d70f16ed68d763f3ce88261b8390e42435059efbb8a48b0d0,True,True,,,,,
168h_6h,2062,F01,F00,29,0.47451478242874146,4.330431166003109,6547,753f82308ed325ab750b364596e0a6ec07da2141b02c56e060df5d05602ab469,334c01a14216dbb675c1c3a3137cf17826ed301b4a5a63f56e08bcdc290b40fb,334c01a14216dbb675c1c3a3137cf17826ed301b4a5a63f56e08bcdc290b40fb,True,,,,,,,,,a1bb8d6bf57d0860441af02b6fc58d039e263ff5ce3e76343ed3c8cc18341679,5e7a2ab596acc4a0b5dfef22cbffe1f39d35b92cd9ccd60fd400602d1a9b8793,True,False,True
168h_6h,2062,F11,F10,30,0.4648250639438629,4.454835472999548,6547,7322aebd0a7a9f5a0afd7c1b4142c18ebfd72db8e269010458d89d4e1178bef1,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,True,,,,,,,,,a1bb8d6bf57d0860441af02b6fc58d039e263ff5ce3e76343ed3c8cc18341679,7260e8bed20c1e28afc714c8cbafe7faf0172df5a4b913714fdc68da2a4f3b2f,True,False,True
168h_6h,2062,B1,F10,26,0.46538397669792175,4.405598924997321,6547,b985e15826dd7b0adcda3d7bd1b0d392082c8b971ff68d54b35d3ec92c83b8c1,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,True,,,,,,,,,a1bb8d6bf57d0860441af02b6fc58d039e263ff5ce3e76343ed3c8cc18341679,7260e8bed20c1e28afc714c8cbafe7faf0172df5a4b913714fdc68da2a4f3b2f,True,False,True
168h_6h,2062,B2,F10,29,0.46507498621940613,4.4405512800003635,6547,5940da55a82d1151398e2e36b68b6fb54cb9f975480af581ef553edd567f4f8d,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,True,,,,,,,,,a1bb8d6bf57d0860441af02b6fc58d039e263ff5ce3e76343ed3c8cc18341679,7260e8bed20c1e28afc714c8cbafe7faf0172df5a4b913714fdc68da2a4f3b2f,True,False,True
168h_6h,2062,B_flat,F10,26,0.4617685079574585,3.293428961005702,6540,5f71f88b6c26c5b702fe9acb01de1e445906c2c2f9ee1400dceddfdcbfc81cbf,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,True,,,,,,,,,096023540bdee05da182e3fb6e4c96bfb55c67e180df146f9a7577741bcf2bdd,7260e8bed20c1e28afc714c8cbafe7faf0172df5a4b913714fdc68da2a4f3b2f,True,False,True
168h_6h,2062,B3,F10,30,0.46650516986846924,4.063876098000037,6547,e7fd8565ff5bb52c60f62cebefea61a76f7ef271319a1283e637aaa4402801f0,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,f6182b66ee6255b12469bbdfb5e06ca54406c70274fbefdd9f7a6d11b4a08c2d,True,,,,,,,,,a1bb8d6bf57d0860441af02b6fc58d039e263ff5ce3e76343ed3c8cc18341679,7260e8bed20c1e28afc714c8cbafe7faf0172df5a4b913714fdc68da2a4f3b2f,True,False,True
