task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
168h_6h,2060,F01,temperature,1,4,0.00021709274733439088,0.0003332317864987999
168h_6h,2060,F01,temperature,1,5,6.591525561816525e-06,2.0469709852477536e-05
168h_6h,2060,F01,temperature,1,6,0.004704473074525595,0.010430917143821716
168h_6h,2060,F01,temperature,2,1,5.064826054217153e-13,3.661002924426615e-12
168h_6h,2060,F01,temperature,2,2,0.06476422399282455,0.09434734284877777
168h_6h,2060,F01,temperature,2,3,0.0009036422707140446,0.00155037606600672
168h_6h,2060,F01,temperature,2,4,0.001680263550952077,0.006523446179926395
168h_6h,2060,F01,temperature,2,5,0.0005336483009159565,0.002167463768273592
168h_6h,2060,F01,temperature,2,6,0.01627187617123127,0.039438437670469284
168h_6h,2060,F01,temperature,3,1,1.385715652467423e-12,6.6180854199626715e-12
168h_6h,2060,F01,temperature,3,2,0.031606275588274,0.04656152054667473
168h_6h,2060,F01,temperature,3,3,0.00013856639270670712,0.0002679968310985714
168h_6h,2060,F01,temperature,3,4,7.400409231195226e-05,0.0001336862042080611
168h_6h,2060,F01,temperature,3,5,3.631783329183236e-05,0.0001454111043130979
168h_6h,2060,F01,temperature,3,6,0.002019627718254924,0.004550737328827381
168h_6h,2060,F01,temperature,6,1,1.4410446577337033e-12,6.566842122163186e-12
168h_6h,2060,F01,temperature,6,2,0.19995519518852234,0.17361147701740265
168h_6h,2060,F01,temperature,6,3,3.597207978600636e-05,7.574739720439538e-05
168h_6h,2060,F01,temperature,6,4,6.532014958793297e-05,0.00010006490629166365
168h_6h,2060,F01,temperature,6,5,2.7212507120566443e-05,0.00010575587657513097
168h_6h,2060,F01,temperature,6,6,0.014251062646508217,0.033942174166440964
168h_6h,2060,F01,temperature,12,1,2.356498676747698e-12,1.1580511723174869e-11
168h_6h,2060,F01,temperature,12,2,0.0035765196662396193,0.0043526142835617065
168h_6h,2060,F01,temperature,12,3,0.0003906851343344897,0.0008228851947933435
168h_6h,2060,F01,temperature,12,4,2.211630817328114e-05,3.146751623717137e-05
168h_6h,2060,F01,temperature,12,5,4.925335815642029e-06,1.8236711184727028e-05
168h_6h,2060,F01,temperature,12,6,0.0006260446971282363,0.0015886860201135278
168h_6h,2060,F01,pressure_hPa_fixed,0,1,0.0015048958593979478,0.005744985770434141
168h_6h,2060,F01,pressure_hPa_fixed,0,2,2.1705996914533898e-05,4.212846761220135e-05
168h_6h,2060,F01,pressure_hPa_fixed,0,3,0.04588209092617035,0.0866474062204361
168h_6h,2060,F01,pressure_hPa_fixed,0,4,0.17389154434204102,0.2600425183773041
168h_6h,2060,F01,pressure_hPa_fixed,0,5,0.31524068117141724,0.34360024333000183
168h_6h,2060,F01,pressure_hPa_fixed,0,6,2.21915934162098e-06,5.970290203549666e-06
168h_6h,2060,F01,pressure_hPa_fixed,1,1,0.0025345354806631804,0.00591352628543973
168h_6h,2060,F01,pressure_hPa_fixed,1,2,0.00020341179333627224,0.0003963010967709124
168h_6h,2060,F01,pressure_hPa_fixed,1,3,0.0005041313706897199,0.004158569499850273
168h_6h,2060,F01,pressure_hPa_fixed,1,4,0.0056581804528832436,0.018621819093823433
168h_6h,2060,F01,pressure_hPa_fixed,1,5,0.0017921514809131622,0.004547636955976486
168h_6h,2060,F01,pressure_hPa_fixed,1,6,6.767739250790328e-05,0.0001531148300273344
168h_6h,2060,F01,pressure_hPa_fixed,2,1,7.18244805852919e-08,2.9610401952595566e-07
168h_6h,2060,F01,pressure_hPa_fixed,2,2,0.00014986417954787612,0.00036606029607355595
168h_6h,2060,F01,pressure_hPa_fixed,2,3,0.09669668972492218,0.17640568315982819
168h_6h,2060,F01,pressure_hPa_fixed,2,4,0.02049168571829796,0.05216900631785393
168h_6h,2060,F01,pressure_hPa_fixed,2,5,0.07027751207351685,0.13630636036396027
168h_6h,2060,F01,pressure_hPa_fixed,2,6,0.0003047256323043257,0.000874233606737107
168h_6h,2060,F01,pressure_hPa_fixed,3,1,2.442248216993903e-07,6.827501124462287e-07
168h_6h,2060,F01,pressure_hPa_fixed,3,2,8.405089465668425e-05,0.00020336851594038308
168h_6h,2060,F01,pressure_hPa_fixed,3,3,0.011394431814551353,0.03321608155965805
168h_6h,2060,F01,pressure_hPa_fixed,3,4,0.002085808664560318,0.010931349359452724
168h_6h,2060,F01,pressure_hPa_fixed,3,5,0.005687331315129995,0.013721763156354427
168h_6h,2060,F01,pressure_hPa_fixed,3,6,3.560144250513986e-05,8.127377077471465e-05
168h_6h,2060,F01,pressure_hPa_fixed,6,1,3.6793369417864596e-07,1.1956771004406619e-06
168h_6h,2060,F01,pressure_hPa_fixed,6,2,0.0007798561127856374,0.001460419618524611
168h_6h,2060,F01,pressure_hPa_fixed,6,3,0.0030141330789774656,0.013858411461114883
168h_6h,2060,F01,pressure_hPa_fixed,6,4,0.0018280609510838985,0.008035733364522457
168h_6h,2060,F01,pressure_hPa_fixed,6,5,0.004103722982108593,0.012203860096633434
168h_6h,2060,F01,pressure_hPa_fixed,6,6,0.000242953872657381,0.0005484147695824504
168h_6h,2060,F01,pressure_hPa_fixed,12,1,5.971650125502492e-07,2.0748227598232916e-06
168h_6h,2060,F01,pressure_hPa_fixed,12,2,1.643528594286181e-05,4.0853126847650856e-05
168h_6h,2060,F01,pressure_hPa_fixed,12,3,0.02274065650999546,0.05858653038740158
168h_6h,2060,F01,pressure_hPa_fixed,12,4,0.0004742027958855033,0.002638189820572734
168h_6h,2060,F01,pressure_hPa_fixed,12,5,0.0014698334271088243,0.0051293885335326195
168h_6h,2060,F01,pressure_hPa_fixed,12,6,1.2970754141861107e-05,2.9518439987441525e-05
168h_6h,2060,F01,humidity_clean,0,1,2.6404050004202873e-05,0.00017342902719974518
168h_6h,2060,F01,humidity_clean,0,2,0.005834949668496847,0.005686023272573948
168h_6h,2060,F01,humidity_clean,0,3,0.00198039086535573,0.024749133735895157
168h_6h,2060,F01,humidity_clean,0,4,0.02260960265994072,0.09077402949333191
168h_6h,2060,F01,humidity_clean,0,5,0.00572860287502408,0.04541870206594467
168h_6h,2060,F01,humidity_clean,0,6,0.00200713356025517,0.0025880313478410244
168h_6h,2060,F01,humidity_clean,1,1,1.1814484423666727e-05,0.00010428223322378471
168h_6h,2060,F01,humidity_clean,1,2,0.1145862340927124,0.17636939883232117
168h_6h,2060,F01,humidity_clean,1,3,1.5234488273563329e-05,0.00019944996165577322
168h_6h,2060,F01,humidity_clean,1,4,0.0016211149049922824,0.00969583448022604
168h_6h,2060,F01,humidity_clean,1,5,5.696713924407959e-05,0.0008451722096651793
168h_6h,2060,F01,humidity_clean,1,6,0.4375346302986145,0.3781115710735321
168h_6h,2060,F01,humidity_clean,2,1,4.984381241079916e-10,6.029096777382392e-09
168h_6h,2060,F01,humidity_clean,2,2,0.030389247462153435,0.03543975204229355
168h_6h,2060,F01,humidity_clean,2,3,0.0029570998158305883,0.03702891990542412
168h_6h,2060,F01,humidity_clean,2,4,0.0031182707753032446,0.03566145524382591
168h_6h,2060,F01,humidity_clean,2,5,0.0016848018858581781,0.029952973127365112
168h_6h,2060,F01,humidity_clean,2,6,0.06157107651233673,0.07808572798967361
168h_6h,2060,F01,humidity_clean,3,1,8.192329592482395e-10,8.643257665141846e-09
168h_6h,2060,F01,humidity_clean,3,2,0.018196403980255127,0.020187854766845703
168h_6h,2060,F01,humidity_clean,3,3,0.0004818453744519502,0.006484454497694969
168h_6h,2060,F01,humidity_clean,3,4,0.00041316362330690026,0.004228969570249319
168h_6h,2060,F01,humidity_clean,3,5,0.00012272757885511965,0.0017358259065076709
168h_6h,2060,F01,humidity_clean,3,6,0.019231872633099556,0.02293972484767437
168h_6h,2060,F01,humidity_clean,6,1,3.003811643864651e-09,3.595745212692236e-08
168h_6h,2060,F01,humidity_clean,6,2,0.4470796585083008,0.27802813053131104
168h_6h,2060,F01,humidity_clean,6,3,0.0002580357249826193,0.004615845624357462
168h_6h,2060,F01,humidity_clean,6,4,0.0007260605343617499,0.010287752375006676
168h_6h,2060,F01,humidity_clean,6,5,0.0003559991891961545,0.008176928386092186
168h_6h,2060,F01,humidity_clean,6,6,0.20704302191734314,0.2116311937570572
168h_6h,2060,F01,humidity_clean,12,1,8.03820210393269e-09,7.785020272876864e-08
168h_6h,2060,F01,humidity_clean,12,2,0.0037914698477834463,0.00422691460698843
168h_6h,2060,F01,humidity_clean,12,3,0.0012625301023945212,0.021871555596590042
168h_6h,2060,F01,humidity_clean,12,4,0.00023237797722686082,0.0023459724616259336
168h_6h,2060,F01,humidity_clean,12,5,9.012474765768275e-05,0.0013681396376341581
168h_6h,2060,F01,humidity_clean,12,6,0.010722686536610126,0.023088859394192696
168h_6h,2060,F11,NO2,0,1,0.5736172795295715,0.29846566915512085
168h_6h,2060,F11,NO2,0,2,0.0004404039937071502,0.0006921068415977061
168h_6h,2060,F11,NO2,0,3,0.0010472359135746956,0.006125130690634251
168h_6h,2060,F11,NO2,0,4,0.0768192932009697,0.12090884149074554
168h_6h,2060,F11,NO2,0,5,0.15287445485591888,0.2728036046028137
168h_6h,2060,F11,NO2,0,6,0.008134817704558372,0.019015921279788017
168h_6h,2060,F11,NO2,1,1,0.21978937089443207,0.2250262200832367
168h_6h,2060,F11,NO2,1,2,0.05048245191574097,0.0706491619348526
168h_6h,2060,F11,NO2,1,3,0.00016046468226704746,0.0014560386771336198
168h_6h,2060,F11,NO2,1,4,0.05754943564534187,0.09253839403390884
168h_6h,2060,F11,NO2,1,5,0.0018214784795418382,0.022489121183753014
168h_6h,2060,F11,NO2,1,6,0.2247394323348999,0.3349989354610443
168h_6h,2060,F11,NO2,2,1,5.4329244449036196e-05,0.000361212354619056
168h_6h,2060,F11,NO2,2,2,0.0047336178831756115,0.005936662200838327
168h_6h,2060,F11,NO2,2,3,0.004278631415218115,0.01708766631782055
168h_6h,2060,F11,NO2,2,4,0.004811803810298443,0.012017970904707909
168h_6h,2060,F11,NO2,2,5,0.006881875917315483,0.035602398216724396
168h_6h,2060,F11,NO2,2,6,0.0022144438698887825,0.002452203771099448
168h_6h,2060,F11,NO2,3,1,0.0007066424004733562,0.005618187133222818
168h_6h,2060,F11,NO2,3,2,0.0008141678408719599,0.0011862522223964334
168h_6h,2060,F11,NO2,3,3,0.0019206830766052008,0.008574584499001503
168h_6h,2060,F11,NO2,3,4,0.002143064048141241,0.0074869561940431595
168h_6h,2060,F11,NO2,3,5,0.002614465309306979,0.01685309410095215
168h_6h,2060,F11,NO2,3,6,0.0017899884842336178,0.0016684526344761252
168h_6h,2060,F11,NO2,6,1,0.024257581681013107,0.10262713581323624
168h_6h,2060,F11,NO2,6,2,0.0025057215243577957,0.003381965449079871
168h_6h,2060,F11,NO2,6,3,0.00019651565526146442,0.00150802091229707
168h_6h,2060,F11,NO2,6,4,0.0038927302230149508,0.012133020907640457
168h_6h,2060,F11,NO2,6,5,0.0016535916365683079,0.009116953238844872
168h_6h,2060,F11,NO2,6,6,0.01683196611702442,0.015655342489480972
168h_6h,2060,F11,NO2,12,1,0.03678661584854126,0.13707208633422852
168h_6h,2060,F11,NO2,12,2,0.007770842872560024,0.008916354738175869
168h_6h,2060,F11,NO2,12,3,0.0025779439602047205,0.016750244423747063
168h_6h,2060,F11,NO2,12,4,0.010241813957691193,0.03533826023340225
168h_6h,2060,F11,NO2,12,5,0.006218876224011183,0.03473963961005211
168h_6h,2060,F11,NO2,12,6,0.011554309166967869,0.018325304612517357
168h_6h,2060,F11,CO,0,1,9.031752597365994e-06,8.075551886577159e-05
168h_6h,2060,F11,CO,0,2,0.0030596423894166946,0.0076308525167405605
168h_6h,2060,F11,CO,0,3,0.023134484887123108,0.08361788839101791
168h_6h,2060,F11,CO,0,4,0.055826425552368164,0.1317148506641388
168h_6h,2060,F11,CO,0,5,0.16199371218681335,0.2859461307525635
168h_6h,2060,F11,CO,0,6,0.0022801291197538376,0.0029642751906067133
168h_6h,2060,F11,CO,1,1,5.434343620436266e-06,4.856974192080088e-05
168h_6h,2060,F11,CO,1,2,0.27906325459480286,0.23128937184810638
168h_6h,2060,F11,CO,1,3,0.002164108445867896,0.01928948052227497
168h_6h,2060,F11,CO,1,4,0.03860596567392349,0.0915592610836029
168h_6h,2060,F11,CO,1,5,0.008341622538864613,0.06463554501533508
168h_6h,2060,F11,CO,1,6,0.003978673368692398,0.004500695038586855
168h_6h,2060,F11,CO,2,1,6.702561283766784e-10,5.434381833424595e-09
168h_6h,2060,F11,CO,2,2,0.05315911024808884,0.06149853765964508
168h_6h,2060,F11,CO,2,3,0.08366138488054276,0.16987884044647217
168h_6h,2060,F11,CO,2,4,0.03175123780965805,0.1113465428352356
168h_6h,2060,F11,CO,2,5,0.0404198057949543,0.14292003214359283
168h_6h,2060,F11,CO,2,6,0.012413593009114265,0.021386371925473213
168h_6h,2060,F11,CO,3,1,5.962043747587131e-09,4.737628600537391e-08
168h_6h,2060,F11,CO,3,2,0.010954257100820541,0.020938625559210777
168h_6h,2060,F11,CO,3,3,0.042681172490119934,0.12004392594099045
168h_6h,2060,F11,CO,3,4,0.009069593623280525,0.051544658839702606
168h_6h,2060,F11,CO,3,5,0.024554667994379997,0.11491205543279648
168h_6h,2060,F11,CO,3,6,0.005067920777946711,0.007410928141325712
168h_6h,2060,F11,CO,6,1,2.312722955366553e-07,1.4990896488598082e-06
168h_6h,2060,F11,CO,6,2,0.05001968517899513,0.09176047891378403
168h_6h,2060,F11,CO,6,3,0.014320416375994682,0.08405818790197372
168h_6h,2060,F11,CO,6,4,0.023102514445781708,0.10743051022291183
168h_6h,2060,F11,CO,6,5,0.025539705529808998,0.12212439626455307
168h_6h,2060,F11,CO,6,6,0.03620937839150429,0.05351758003234863
168h_6h,2060,F11,CO,12,1,3.8594720308537944e-07,3.2882753657759167e-06
168h_6h,2060,F11,CO,12,2,0.2114357352256775,0.24581219255924225
168h_6h,2060,F11,CO,12,3,0.06478502601385117,0.20146550238132477
168h_6h,2060,F11,CO,12,4,0.04641611874103546,0.15548104047775269
168h_6h,2060,F11,CO,12,5,0.05444706976413727,0.18128588795661926
168h_6h,2060,F11,CO,12,6,0.022696780040860176,0.05227631703019142
168h_6h,2060,F11,O3,0,1,0.000955198600422591,0.004836983513087034
168h_6h,2060,F11,O3,0,2,0.0005626784404739738,0.0008852804894559085
168h_6h,2060,F11,O3,0,3,0.0009456666884943843,0.005263397470116615
168h_6h,2060,F11,O3,0,4,0.06124463304877281,0.08334878087043762
168h_6h,2060,F11,O3,0,5,0.004983456339687109,0.025057068094611168
168h_6h,2060,F11,O3,0,6,0.00016754776879679412,0.00017362415383104235
168h_6h,2060,F11,O3,1,1,0.0002955204399768263,0.0015362423146143556
168h_6h,2060,F11,O3,1,2,0.1638418287038803,0.299408495426178
168h_6h,2060,F11,O3,1,3,0.0001702989829936996,0.0009821434505283833
168h_6h,2060,F11,O3,1,4,0.09171842783689499,0.1413629949092865
168h_6h,2060,F11,O3,1,5,0.00011161022121086717,0.0005966228200122714
168h_6h,2060,F11,O3,1,6,0.0023949197493493557,0.005411752965301275
168h_6h,2060,F11,O3,2,1,5.188298146663328e-08,3.121766667391057e-07
168h_6h,2060,F11,O3,2,2,0.0017207106575369835,0.0023437300696969032
168h_6h,2060,F11,O3,2,3,0.002105221850797534,0.011706860736012459
168h_6h,2060,F11,O3,2,4,0.007027012296020985,0.018226951360702515
168h_6h,2060,F11,O3,2,5,0.0006907150382176042,0.007253869436681271
168h_6h,2060,F11,O3,2,6,0.0002732952416408807,0.00036713291774503887
168h_6h,2060,F11,O3,3,1,2.478139151662617e-07,1.3765112498731469e-06
168h_6h,2060,F11,O3,3,2,0.00023774639703333378,0.000310933479340747
168h_6h,2060,F11,O3,3,3,0.0016785250045359135,0.012289727106690407
168h_6h,2060,F11,O3,3,4,0.00204849848523736,0.005304076708853245
