task,seed,variant,horizon_step,pollutant_mass_mean,pollutant_mass_std,meteorology_mass_mean,meteorology_mass_std,mass_sum_max_abs_error,beta
168h_6h,2060,F01,1,0.9959210753440857,0.00971386581659317,0.004078964237123728,0.009713861159980297,4.76837158203125e-07,0.03019920364022255
168h_6h,2060,F01,2,0.03505298122763634,0.04136418551206589,0.9649470448493958,0.04136418551206589,2.980232238769531e-07,0.03019920364022255
168h_6h,2060,F01,3,0.810534656047821,0.29309895634651184,0.18946538865566254,0.29309895634651184,4.76837158203125e-07,0.03019920364022255
168h_6h,2060,F01,4,0.7520089149475098,0.3104424476623535,0.24799112975597382,0.3104424476623535,4.76837158203125e-07,0.03019920364022255
168h_6h,2060,F01,5,0.5921686887741089,0.4029408395290375,0.40783125162124634,0.4029408097267151,4.76837158203125e-07,0.03019920364022255
168h_6h,2060,F01,6,0.22323961555957794,0.2914510667324066,0.7767602801322937,0.29145103693008423,4.76837158203125e-07,0.03019920364022255
168h_6h,2060,F11,1,0.8564939498901367,0.2647215723991394,0.14350607991218567,0.264721542596817,3.5762786865234375e-07,0.031309425830841064
168h_6h,2060,F11,2,0.8540396690368652,0.11467523872852325,0.14596040546894073,0.11467523127794266,4.76837158203125e-07,0.031309425830841064
168h_6h,2060,F11,3,0.6838833093643188,0.41808998584747314,0.31611669063568115,0.41808995604515076,4.76837158203125e-07,0.031309425830841064
168h_6h,2060,F11,4,0.6208438873291016,0.3857324421405792,0.37915605306625366,0.3857324421405792,5.364418029785156e-07,0.031309425830841064
168h_6h,2060,F11,5,0.5777453780174255,0.4226747155189514,0.4222545921802521,0.42267468571662903,4.76837158203125e-07,0.031309425830841064
168h_6h,2060,F11,6,0.3535219430923462,0.3015746772289276,0.6464780569076538,0.3015746772289276,5.960464477539062e-07,0.031309425830841064
168h_6h,2060,B1,1,0.9989540576934814,0.0015778321539983153,0.0010460381163284183,0.0015778196975588799,7.152557373046875e-07,0.030484387651085854
168h_6h,2060,B1,2,0.3374369740486145,0.22296813130378723,0.6625630259513855,0.22296813130378723,4.76837158203125e-07,0.030484387651085854
168h_6h,2060,B1,3,0.5919100046157837,0.22560957074165344,0.4080899953842163,0.22560955584049225,3.5762786865234375e-07,0.030484387651085854
168h_6h,2060,B1,4,0.8513786196708679,0.24338480830192566,0.14862143993377686,0.24338479340076447,4.172325134277344e-07,0.030484387651085854
168h_6h,2060,B1,5,0.9623551964759827,0.031218674033880234,0.037644870579242706,0.031218651682138443,5.960464477539062e-07,0.030484387651085854
168h_6h,2060,B1,6,0.5392196774482727,0.20438262820243835,0.4607803225517273,0.20438261330127716,3.5762786865234375e-07,0.030484387651085854
168h_6h,2060,B2,1,0.9984482526779175,0.006443355698138475,0.001551794121041894,0.006443358026444912,7.152557373046875e-07,0.03108694590628147
168h_6h,2060,B2,2,0.6409600973129272,0.2739841639995575,0.35903993248939514,0.2739841639995575,5.960464477539062e-07,0.03108694590628147
168h_6h,2060,B2,3,0.6814524531364441,0.2787744700908661,0.3185475468635559,0.2787744700908661,4.76837158203125e-07,0.03108694590628147
168h_6h,2060,B2,4,0.7011937499046326,0.21247299015522003,0.29880619049072266,0.21247300505638123,4.76837158203125e-07,0.03108694590628147
