epoch,train_loss,valid_loss
1,0.15497664173060155,0.20621393620967865
2,0.15456430899034826,0.20628859102725983
3,0.15438659103081495,0.20592644810676575
4,0.1542524999057001,0.2062283158302307
5,0.15416616424942578,0.2059062421321869
6,0.1539862663764232,0.20637564361095428
7,0.1540188340478126,0.20605982840061188
8,0.15380053096742188,0.20585231482982635
9,0.1537650945857826,0.20606036484241486
10,0.15368063299334953,0.2058568149805069
11,0.1536444568005383,0.20575234293937683
12,0.15357354884162483,0.2057230919599533
13,0.15355846126217004,0.20596419274806976
14,0.15356305560790787,0.2055404633283615
15,0.153454435465182,0.20541580021381378
16,0.15344095624473264,0.2056804895401001
17,0.1534654542418179,0.20551520586013794
18,0.1533284356291084,0.20534610748291016
19,0.15335707374275845,0.20510464906692505
20,0.15331347446304205,0.2051098644733429
21,0.153254842464353,0.20550797879695892
22,0.1531585960106267,0.2052566409111023
23,0.15319982273067914,0.20525845885276794
24,0.15314471253822015,0.20506532490253448
25,0.15313812075844757,0.20504629611968994
26,0.15315135946888397,0.20498314499855042
27,0.15319289904987074,0.20528507232666016
28,0.153114637384991,0.20487304031848907
29,0.1530893392106802,0.20467929542064667
30,0.15303194234888942,0.20524610579013824
