variant,seed,rmse_difference_ugm3,mae_difference_ugm3,rmse_relative_change_percent
st_center_only,2024,-0.001682281494140625,0.043150901794433594,-0.007861373151929474
st_center_only,2025,0.0014438629150390625,0.009412765502929688,0.0066741943114623226
st_center_only,2026,-0.01488494873046875,0.03644084930419922,-0.06918559319065709
st_pairwise,2024,0.03320884704589844,0.07372093200683594,0.15518635821800686
st_pairwise,2025,0.011091232299804688,-0.005137443542480469,0.05126874494201239
st_pairwise,2026,-0.018558502197265625,0.08846378326416016,-0.08626035645119545
st_pairwise_delta,2024,-0.6941261291503906,0.31568241119384766,-3.2436809979558667
st_pairwise_delta,2025,-0.9017848968505859,0.11200237274169922,-4.168461954403346
st_pairwise_delta,2026,0.01976776123046875,-0.013700485229492188,0.09188102099282336
st_pairwise_delta_forecast,2024,-0.5883598327636719,-0.0756692886352539,-2.7494305852337697
st_pairwise_delta_forecast,2025,-0.6348743438720703,-0.10644817352294922,-2.934679386958061
st_pairwise_delta_forecast,2026,-0.5795116424560547,-0.03012847900390625,-2.693583798656096
st_sparse_delta_forecast,2024,-0.5707569122314453,-0.007117271423339844,-2.6671713870260905
st_sparse_delta_forecast,2025,-0.68408203125,-0.14147377014160156,-3.1621398084127117
st_sparse_delta_forecast,2026,-0.4840984344482422,0.00226593017578125,-2.2501009547594153
st_confident_delta_forecast,2024,-0.5770587921142578,-0.07189369201660156,-2.69662034042063
st_confident_delta_forecast,2025,-0.6153297424316406,-0.09600353240966797,-2.8443353062322263
st_confident_delta_forecast,2026,-0.5590610504150391,-0.020532608032226562,-2.5985289639315567
st_station_bias_delta_forecast,2024,-0.6677150726318359,-0.03563690185546875,-3.120261004719138
st_station_bias_delta_forecast,2025,-0.74609375,-0.1006317138671875,-3.4487863149569087
st_station_bias_delta_forecast,2026,-0.6122646331787109,-0.0008268356323242188,-2.845820472960303
st_sparse_station_bias_delta_forecast,2024,-0.7172737121582031,-0.07960224151611328,-3.3518506403275583
st_sparse_station_bias_delta_forecast,2025,-0.7792415618896484,-0.09260749816894531,-3.6020106517319905
st_sparse_station_bias_delta_forecast,2026,-0.6180648803710938,0.0012826919555664062,-2.872780158876864
