arm,seed,artifact,best_epoch,best_valid_loss,trained_epochs,training_seconds,initialized_from_degraded,backbone_frozen,config_fingerprint
degraded_patchtst,7001,predictions/degraded_patchtst_seed7001.npz,7,0.390706330537796,13,14.357123826001043,False,False,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
st_sparse_station_bias_delta_forecast,7001,predictions/st_sparse_station_bias_delta_forecast_seed7001.npz,30,0.3815057873725891,30,13.958264033000887,True,True,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
degraded_patchtst,7002,predictions/degraded_patchtst_seed7002.npz,19,0.3774084448814392,25,27.449809917001403,False,False,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
st_sparse_station_bias_delta_forecast,7002,predictions/st_sparse_station_bias_delta_forecast_seed7002.npz,14,0.3698669970035553,20,9.414487736998126,True,True,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
degraded_patchtst,7003,predictions/degraded_patchtst_seed7003.npz,17,0.3781696856021881,23,25.11453840899776,False,False,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
st_sparse_station_bias_delta_forecast,7003,predictions/st_sparse_station_bias_delta_forecast_seed7003.npz,30,0.37092676758766174,30,13.993565952001518,True,True,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
degraded_patchtst,7004,predictions/degraded_patchtst_seed7004.npz,18,0.3867013454437256,24,26.656411080999533,False,False,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
st_sparse_station_bias_delta_forecast,7004,predictions/st_sparse_station_bias_delta_forecast_seed7004.npz,5,0.38082388043403625,11,5.1060143309987325,True,True,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
degraded_patchtst,7005,predictions/degraded_patchtst_seed7005.npz,22,0.3780447840690613,28,30.70320921599705,False,False,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
st_sparse_station_bias_delta_forecast,7005,predictions/st_sparse_station_bias_delta_forecast_seed7005.npz,7,0.3725070655345917,13,6.107780373000423,True,True,997b2ecd89372461a4999af9c320a0ad17ac85f7aadefafeda7fc630f2500898
