variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters
trad_persistence,trad_persistence,deterministic,completed,0,,3.520006430335343e-06,0.0019098420016234,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.3220413327217102,0.5674868568713378,0.3088182806968689,42.2856674194336,23.01125717163086,31.51802635192871,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,1.8300052033737304e-06,0.0017448849976062,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.5219453573226929,1.2336714948975245,0.8799867630004883,91.92569732666016,65.5712661743164,77.3640365600586,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.0073740240040933,0.0017707450024317,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9826701879501344,0.991297224827213,0.7504114508628845,73.86544036865234,55.91609573364258,71.5697021484375,,
trad_ar,trad_ar,deterministic,completed,0,,0.0078973049967316,0.0018616539891809,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.3017922043800354,0.5493561726057471,0.3153999149799347,40.9346809387207,23.501684188842773,34.88465118408203,,
trad_ridge,trad_ridge,deterministic,completed,0,,0.0117664799909107,0.0018460730061633,test,0,0,A,not_applicable,not_applicable,1,10.0,predictions/trad_ridge.npz,0.2992726564407348,0.5470581837800572,0.3151056170463562,40.763450622558594,23.47975349426269,34.80147933959961,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.0743015080079203,0.0034985489910468,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,0.3235522806644439,0.5688165615244022,0.3413646817207336,42.38475036621094,25.436420440673828,39.22697067260742,,
center_gru_default,center_gru,2047,completed,19,0.4675217568874359,4.205129629001021,0.0089766510063782,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.2900440096855163,0.5385573411304653,0.3085241913795471,40.1300163269043,22.98934555053711,33.45220947265625,[9],"{""hidden_size"": 100}"
center_gru_default,center_gru,2048,completed,27,0.4659743010997772,5.137939379987074,0.0092041869938839,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed2048.npz,0.2916789054870605,0.540073055694376,0.3121867179870605,40.242958068847656,23.26225471496582,34.13778305053711,[9],"{""hidden_size"": 100}"
center_gru_default,center_gru,2049,completed,21,0.4708218872547149,4.421550762999686,0.009208736999426,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed2049.npz,0.2882519960403442,0.5368910467127798,0.3063316345214844,40.00585174560547,22.825971603393555,32.72267150878906,[9],"{""hidden_size"": 100}"
center_lstm_default,center_lstm,2047,completed,19,0.4622842371463775,2.462505855000927,0.0069645790063077,test,41806,41806,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.2988228499889374,0.5466469152834738,0.3191915452480316,40.73280334472656,23.78421211242676,33.76536560058594,[9],"{""hidden_size"": 100}"
center_lstm_default,center_lstm,2048,completed,29,0.4583235085010528,3.520602948003216,0.0069098709936952,test,41806,41806,B,default,default,1,,predictions/center_lstm_default_seed2048.npz,0.30172860622406,0.5492982852913889,0.3188962936401367,40.93036651611328,23.762210845947266,34.081966400146484,[9],"{""hidden_size"": 100}"
center_lstm_default,center_lstm,2049,completed,22,0.4591034650802612,2.776393317995826,0.0068843710032524,test,41806,41806,B,default,default,1,,predictions/center_lstm_default_seed2049.npz,0.2990261912345886,0.5468328732205011,0.317596435546875,40.74665832519531,23.665355682373047,33.91516876220703,[9],"{""hidden_size"": 100}"
center_tcn_default,center_tcn,2047,completed,37,0.5242348313331604,188.3252150180051,0.2581516719947103,test,66806,66806,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.3270852267742157,0.5719136532503973,0.3418550193309784,42.61552429199219,25.47295570373535,36.36685943603516,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}"
center_tcn_default,center_tcn,2048,completed,38,0.5148864984512329,187.18549872600124,0.2591482319985516,test,66806,66806,B,default,default,1,,predictions/center_tcn_default_seed2048.npz,0.3318224251270294,0.5760402981797622,0.3516858518123626,42.92301559448242,26.20549201965332,37.76958465576172,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}"
center_tcn_default,center_tcn,2049,completed,40,0.5078169107437134,187.10352560599856,0.2608640309917973,test,66806,66806,B,default,default,1,,predictions/center_tcn_default_seed2049.npz,0.3122238516807556,0.5587699452196365,0.3508204221725464,41.636138916015625,26.14100456237793,39.27513122558594,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}"
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2047,completed,6,0.5728752017021179,2.2890115500049437,0.0120119969942606,test,18252,18249,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2047.npz,0.3794837594032287,0.616022531571069,0.3962722420692444,45.902252197265625,29.52779769897461,46.96473693847656,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2048,completed,9,0.64234858751297,2.72720260200731,0.0120776160038076,test,18252,18249,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2048.npz,0.3750422894954681,0.6124069639508258,0.3981754183769226,45.63283920288086,29.66960906982422,44.60285568237305,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2049,completed,7,0.7534523010253906,2.412978699998348,0.0120771559886634,test,18252,18249,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2049.npz,0.4633285999298095,0.6806824516100071,0.4785805940628052,50.72031021118164,35.660911560058594,74.36817932128906,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2047,completed,11,1.1174207925796509,3.2432189169921912,0.0120658770028967,test,17868,17865,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2047.npz,0.5922195315361023,0.7695580105073966,0.5218687057495117,57.34278106689453,38.886478424072266,52.97547149658203,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
