history,1,3,6,12,24
24,0.053923,0.174396,0.600823,0.791366,1.840368
48,0.267557,0.325373,0.739061,1.054750,1.524325
72,0.272848,0.287689,0.615935,0.720785,0.774812
168,1.304488,0.397249,0.407150,0.268695,0.276211
