variant,runs,rmse_ugm3_mean,rmse_ugm3_std,mae_ugm3_mean,mae_ugm3_std,smape_percent_mean,smape_percent_std,best_valid_loss_mean,best_valid_loss_std,training_seconds_mean,training_seconds_std,test_inference_seconds_mean,test_inference_seconds_std,alpha_mean,alpha_std,spatial_residual_rms_ratio_mean,spatial_residual_rms_ratio_std,gate_normalized_entropy_mean,gate_normalized_entropy_std,null_neighbor_weight_mean_mean,null_neighbor_weight_mean_std,gate_sample_std_mean_mean,gate_sample_std_mean_std,neighbor_out_weight_norm_mean,neighbor_out_weight_norm_std,spatial_forecast_weight_norm_mean,spatial_forecast_weight_norm_std,zero_neighbor_rmse_ugm3_mean,zero_neighbor_rmse_ugm3_std,shuffle_neighbor_rmse_ugm3_mean,shuffle_neighbor_rmse_ugm3_std,center_copy_neighbor_rmse_ugm3_mean,center_copy_neighbor_rmse_ugm3_std
degraded_patchtst,1,50.519622802734375,0.0,32.46913146972656,0.0,51.56446838378906,0.0,0.46193891763687134,0.0,43.22956310599693,0.0,0.04035675599880051,0.0,0.0,0.0,0.0,0.0,0.9994996190071106,0.0,0.04922156780958176,0.0,0.002146072220057249,0.0,0.0,0.0,0.0,0.0,50.519622802734375,0.0,50.519622802734375,0.0,50.519622802734375,0.0
st_pairwise_delta_forecast,1,50.1322021484375,0.0,32.25139617919922,0.0,51.127201080322266,0.0,0.45488107204437256,0.0,43.760116940000444,0.0,0.046748745000513736,0.0,0.10996551811695099,0.0,0.04550127418968006,0.0,0.7047858238220215,0.0,0.4079151451587677,0.0,0.04020332172513008,0.0,0.0,0.0,1.1277575492858887,0.0,51.09556198120117,0.0,50.24055099487305,0.0,50.22509002685547,0.0
st_sparse_delta_forecast,1,50.10454177856445,0.0,32.229671478271484,0.0,51.244991302490234,0.0,0.45437929034233093,0.0,43.866168852000555,0.0,0.04163604199857218,0.0,0.11034844815731049,0.0,0.048424765281443974,0.0,0.46476373076438904,0.0,0.49037572741508484,0.0,0.05616271495819092,0.0,0.0,0.0,1.1397649049758911,0.0,51.035518646240234,0.0,50.214210510253906,0.0,50.25023651123047,0.0
