variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2027,10,0.4687480032444,27.948578572999395,0.06552298600581707,test,31126,31123,False,0.32337358593940735,0.5686594639495657,0.3551645576953888,42.26881790161133,26.399608612060547,41.91347885131836,42.26881790161133,26.399608612060547,42.26881790161133,26.399608612060547,42.26881790161133,26.399608612060547,42.26881790161133,26.399608612060547,0.0,0.0,0.999919056892395,0.05003407225012779,0.0009093082626350224,0.0,0.0,input
st_station_bias_delta_forecast,2027,7,0.4675212502479553,22.881492236003396,0.0660995729995193,test,31127,31124,False,0.3262564241886139,0.5711886064940493,0.3505924344062805,42.45681381225586,26.05975914001465,40.24836730957031,42.60746383666992,26.27716636657715,42.4379768371582,26.042606353759766,42.43031311035156,26.025117874145508,42.45817947387695,26.064197540283203,0.10266660898923874,0.07594026057815585,0.9957048296928406,0.06533634662628174,0.006178427953273058,0.0,0.7453900575637817,forecast
degraded_patchtst,2028,8,0.46435660123825073,24.001887516998977,0.06268994499987457,test,31126,31123,False,0.3216439187526703,0.5671365962029521,0.3557273745536804,42.15562438964844,26.44144058227539,40.42524337768555,42.15562438964844,26.44144058227539,42.15562438964844,26.44144058227539,42.15562438964844,26.44144058227539,42.15562438964844,26.44144058227539,0.0,0.0,0.9998400807380676,0.04824419692158699,0.001063774456270039,0.0,0.0,input
st_station_bias_delta_forecast,2028,26,0.4552270174026489,52.51661939799669,0.06437059000018053,test,31127,31124,False,0.31618717312812805,0.562305231282911,0.3447248041629791,41.7965087890625,25.62361717224121,39.284629821777344,42.15699768066406,25.797954559326172,42.52552795410156,26.36652946472168,42.5602912902832,26.434106826782227,42.1533317565918,25.80984115600586,0.10967778414487839,0.06135527813560518,0.9964829683303833,0.0432773195207119,0.004705500323325396,0.0,1.2192918062210083,forecast
degraded_patchtst,2029,8,0.4616915285587311,24.107861217999016,0.0629940680009895,test,31126,31123,False,0.3233451545238495,0.5686344647696352,0.3555203676223755,42.266963958740234,26.426055908203125,39.69530487060547,42.266963958740234,26.426055908203125,42.266963958740234,26.426055908203125,42.266963958740234,26.426055908203125,42.266963958740234,26.426055908203125,0.0,0.0,0.9999542236328125,0.05221948400139809,0.0006371771451085806,0.0,0.0,input
st_station_bias_delta_forecast,2029,7,0.4674118161201477,22.96238810000068,0.06632399599766359,test,31127,31124,False,0.320098340511322,0.5657723398252358,0.3559783101081848,42.05421829223633,26.460094451904297,39.78904342651367,42.022377014160156,26.248659133911133,41.94664001464844,26.135799407958984,41.92205810546875,26.143280029296875,42.06776428222656,26.542224884033203,0.1036410853266716,0.09571672855377966,0.9974362850189209,0.056095995008945465,0.0044719199649989605,0.0,0.8999795317649841,forecast
degraded_patchtst,2030,30,0.4723343253135681,51.571184403997904,0.0639095480000833,test,31126,31123,False,0.33426761627197266,0.5781588157867807,0.36627161502838135,42.97491455078125,27.225200653076172,41.685821533203125,42.97491455078125,27.225200653076172,42.97491455078125,27.225200653076172,42.97491455078125,27.225200653076172,42.97491455078125,27.225200653076172,0.0,0.0,0.9994033575057983,0.0483180396258831,0.0025477188173681498,0.0,0.0,input
st_station_bias_delta_forecast,2030,30,0.4755305051803589,52.65388048099703,0.06438549800077453,test,31127,31124,False,0.3322727382183075,0.5764310350929307,0.3581479489803314,42.84648895263672,26.621368408203125,40.5749397277832,43.08317184448242,26.864641189575195,43.72159194946289,27.791223526000977,43.59151077270508,27.44699478149414,43.083560943603516,26.661149978637695,0.11440476030111313,0.05860792273781084,0.7735341191291809,0.32661500573158264,0.042745016515254974,0.0,1.5378899574279785,forecast
degraded_patchtst,2031,16,0.46330374479293823,37.91571353999461,0.06471639499795856,test,31126,31123,False,0.348879873752594,0.5906605402027412,0.3663405478000641,43.9041748046875,27.230327606201172,41.82672882080078,43.9041748046875,27.230327606201172,43.9041748046875,27.230327606201172,43.9041748046875,27.230327606201172,43.9041748046875,27.230327606201172,0.0,0.0,0.9998105764389038,0.048694510012865067,0.0012120661558583379,0.0,0.0,input
st_station_bias_delta_forecast,2031,11,0.46655532717704773,29.648011874000076,0.06465902100171661,test,31127,31124,False,0.33559876680374146,0.5793088699508592,0.3555932939052582,43.06039810180664,26.431476593017578,40.38045120239258,43.36796569824219,26.830350875854492,43.01728820800781,26.427949905395508,43.213043212890625,26.614656448364258,43.01749038696289,26.434965133666992,0.1038656011223793,0.09314839801901909,0.9777846932411194,0.07752671837806702,0.021678663790225983,0.0,0.9193925857543945,forecast
