variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2024,22,0.46193891763687134,48.91235080399929,0.06681064399890602,test,31096,0.31553834676742554,0.5617280006973353,0.3444298505783081,41.753597259521484,25.601686477661133,39.13848876953125,41.753597259521484,25.601686477661133,41.753597259521484,25.601686477661133,41.753597259521484,25.601686477661133,41.753597259521484,25.601686477661133,0.0,0.0,0.9998139142990112,0.05075861141085625,0.001415987848304212,0.0,0.0,input
st_pairwise_delta_forecast,2024,22,0.45488107204437256,48.86834788499982,0.8091296809943742,test,31097,0.30616357922554016,0.5533205031675044,0.3390637934207916,41.128662109375,25.20282745361328,38.63310241699219,41.66392517089844,25.654630661010742,41.72154235839844,26.048206329345703,41.6792106628418,25.88490104675293,41.41240310668945,25.26445198059082,0.10996551811695099,0.07552079460502853,0.8015135526657104,0.31430280208587646,0.037768375128507614,0.0,1.1277575492858887,forecast
st_sparse_delta_forecast,2024,22,0.45437929034233093,48.86437490699609,0.06534719900082564,test,31097,0.3064606189727783,0.5535888537288105,0.3388236463069916,41.14861297607422,25.184974670410156,38.58710861206055,41.70171356201172,25.75287628173828,41.6524772644043,26.064512252807617,41.54543685913086,25.81473159790039,41.408851623535156,25.245807647705078,0.11034844815731049,0.08121596795390142,0.5374362468719482,0.4174496531486511,0.05687231197953224,0.0,1.1397649049758911,forecast
degraded_patchtst,2025,6,0.4752456247806549,20.599630665994482,0.06335104699974181,test,31096,0.342924565076828,0.5855976136194785,0.36691156029701233,43.5278434753418,27.272768020629883,41.7555046081543,43.5278434753418,27.272768020629883,43.5278434753418,27.272768020629883,43.5278434753418,27.272768020629883,43.5278434753418,27.272768020629883,0.0,0.0,0.999019980430603,0.06767891347408295,0.0018899784190580249,0.0,0.0,input
st_pairwise_delta_forecast,2025,14,0.47028863430023193,35.07295258399972,0.06507168199459556,test,31097,0.3290060758590698,0.5735905123509888,0.3604881167411804,42.63534927368164,26.795310974121094,40.63389587402344,42.57904815673828,26.471752166748047,42.63264846801758,26.832435607910156,42.62126541137695,26.811735153198242,42.65797805786133,26.84798240661621,0.10517609119415283,0.10508833917272503,0.9876974821090698,0.10340617597103119,0.007894721813499928,0.0,0.81739342212677,forecast
st_sparse_delta_forecast,2025,14,0.4695656895637512,34.92589909199887,0.06410504100495018,test,31097,0.3282802700996399,0.5729574766940736,0.3595051169395447,42.58829116821289,26.72224235534668,40.561363220214844,42.56148147583008,26.481931686401367,42.639137268066406,26.871328353881836,42.59706497192383,26.784650802612305,42.64466857910156,26.814083099365234,0.10546327382326126,0.09643394559384245,0.6854483485221863,0.22081612050533295,0.044517774134874344,0.0,0.8426423072814941,forecast
degraded_patchtst,2026,19,0.4681199789047241,43.16408747999958,0.06369773399637779,test,31096,0.32852402329444885,0.5731701521315018,0.3528578579425812,42.604103088378906,26.228151321411133,39.44300842285156,42.604103088378906,26.228151321411133,42.604103088378906,26.228151321411133,42.604103088378906,26.228151321411133,42.604103088378906,26.228151321411133,0.0,0.0,0.9998388290405273,0.0582268089056015,0.0007861267658881843,0.0,0.0,input
st_pairwise_delta_forecast,2026,24,0.4610156714916229,52.904332292004256,0.06501900500006741,test,31097,0.3305681049823761,0.5749505239430399,0.3566102683544159,42.7364387512207,26.507070541381836,39.851566314697266,42.87733840942383,26.407947540283203,43.60582733154297,27.46674919128418,43.6036262512207,27.453012466430664,43.11526870727539,26.629850387573242,0.11270308494567871,0.06382585800171463,0.9718889594078064,0.11949481815099716,0.012472079135477543,0.0,1.434038519859314,forecast
st_sparse_delta_forecast,2026,24,0.4614714980125427,52.56300997099606,0.06491503900178941,test,31097,0.3319356441497803,0.5761385633246401,0.3571673333644867,42.82474899291992,26.54847526550293,40.033443450927734,42.951148986816406,26.55579948425293,43.2949104309082,27.044958114624023,43.34475326538086,27.067302703857422,43.09040832519531,26.626996994018555,0.10931157320737839,0.059190397346278886,0.6674286127090454,0.22785264253616333,0.038692720234394073,0.0,1.242005705833435,forecast
