variant,seed,best_epoch,beta,trainable_parameter_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
st_rfft,2047,29,0.12340833991765976,610,0.07879842072725296,0.28071056397516103,0.13887996971607208,20.90749168395996,10.343864440917969,17.38330078125
st_time,2047,29,0.1257268786430359,610,0.07887247949838638,0.28084244604116804,0.13841000199317932,20.917316436767578,10.30886173248291,17.21224594116211
st_rfft,2048,10,0.11189299821853638,610,0.07583203911781311,0.27537617746968074,0.13549986481666565,20.51018524169922,10.09211254119873,17.564361572265625
st_time,2048,3,0.10203979164361954,610,0.07582541555166245,0.2753641508106356,0.13567876815795898,20.509288787841797,10.105437278747559,17.686491012573242
st_rfft,2049,11,0.10701482743024826,610,0.07893458008766174,0.28095298554680237,0.13555072247982025,20.92555046081543,10.095900535583496,17.097728729248047
st_time,2049,18,0.11502620577812195,610,0.07893074303865433,0.2809461568319708,0.13511566817760468,20.925039291381836,10.063497543334961,16.901742935180664
st_rfft,2050,20,0.12480679154396057,610,0.07934774458408356,0.28168731704512995,0.13840804994106293,20.980241775512695,10.3087158203125,17.452184677124023
st_time,2050,4,0.1037554144859314,610,0.07952099293470383,0.2819946682735399,0.13852526247501373,21.00313377380371,10.317445755004883,17.249637603759766
st_rfft,2051,22,0.12432453781366348,610,0.07811175286769867,0.27948479899217893,0.13561992347240448,20.81619644165039,10.101054191589355,16.7560977935791
st_time,2051,22,0.1185200959444046,610,0.078323133289814,0.2798627043566434,0.13628986477851868,20.844343185424805,10.15095043182373,16.800945281982422
