task,runs,baseline_rmse_ugm3_mean,candidate_rmse_ugm3_mean,rmse_reduction_percent_mean,rmse_reduction_percent_std,rmse_reduction_bootstrap_ci95_low,rmse_reduction_bootstrap_ci95_high,rmse_improved_seed_count,one_sided_exact_sign_p,practical_threshold_percent,strict_task_gate_pass,baseline_mae_ugm3_mean,candidate_mae_ugm3_mean,mae_improved_seed_count
24$\rightarrow$1,5,21.2888,20.6250,3.1188,0.2409,2.9424,3.3240,5,0.0312,1.0000,True,10.1014,9.9817,5
168$\rightarrow$6,5,42.2668,41.9195,0.8220,0.1991,0.6693,0.9735,5,0.0312,0.5000,True,26.1749,25.8676,5
