variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,parameter_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm
degraded_patchtst,2024,19,0.4613892138004303,49.371586654000566,0.08384569499321515,27008,0.3325236439704895,0.576648631291612,0.35319405794143677,42.86265563964844,26.253141403198242,41.039546966552734,42.86265563964844,26.253141403198242,42.86265563964844,26.253141403198242,42.86265563964844,26.253141403198242,0.0,0.0,0.999813973903656,0.05075859650969505,0.0014159965794533491,0.0
st_pairwise_delta,2024,23,0.4578709602355957,49.66665595900122,0.0782621990001644,27009,0.3309991657733917,0.5753252695418407,0.3501264452934265,42.7642936706543,26.025123596191406,40.155609130859375,42.61300277709961,26.17319107055664,42.81489181518555,26.084136962890625,43.38390350341797,26.3630313873291,0.027055634185671806,0.04194581368153331,0.950644850730896,0.10864618420600891,0.024960260838270187,0.9587110877037048
degraded_patchtst,2025,17,0.4498806893825531,39.19578593700135,0.07727657700161217,27008,0.3057507574558258,0.5529473369642228,0.3427746295928955,41.10092544555664,25.478654861450195,38.58539581298828,41.10092544555664,25.478654861450195,41.10092544555664,25.478654861450195,41.10092544555664,25.478654861450195,0.0,0.0,0.9990200400352478,0.06767861545085907,0.0018899280112236738,0.0
st_pairwise_delta,2025,17,0.4508284628391266,39.37575245399785,0.0782872980053071,27009,0.30919551849365234,0.556053521249216,0.3466855585575104,41.331809997558594,25.769357681274414,39.0120964050293,41.270450592041016,25.6906681060791,41.339420318603516,25.776077270507812,41.3841552734375,25.815086364746094,0.024338772520422935,0.02966111468883267,0.724317193031311,0.38791629672050476,0.04033215716481209,0.8349154591560364
degraded_patchtst,2026,26,0.46192553639411926,51.15536007800256,0.07970366200606804,27008,0.32875221967697144,0.5733691827060218,0.3572542667388916,42.618896484375,26.554933547973633,40.4814567565918,42.618896484375,26.554933547973633,42.618896484375,26.554933547973633,42.618896484375,26.554933547973633,0.0,0.0,0.9998388290405273,0.05822664499282837,0.0007861052872613072,0.0
st_pairwise_delta,2026,30,0.4494730234146118,57.11516112599929,0.07911468000384048,27009,0.3176722526550293,0.5636242122682713,0.3501609265804291,41.8945426940918,26.027681350708008,40.42428207397461,42.358219146728516,26.848649978637695,42.03487014770508,26.161895751953125,42.460758209228516,26.347253799438477,0.02789470925927162,0.06421565696361414,0.9639793634414673,0.03806648030877113,0.02522478811442852,1.2316592931747437
