variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,arm,selected_channel_indices,hyperparameters,result_dir,history,horizon,smoke
trad_persistence,deterministic,0,,5.109999619890004e-06,0.0018952280006487,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.08705999702215195,0.29505931102432936,0.13578179478645325,21.987735748291016,10.118420600891113,15.181366920471191,,,,experiments/results/baselines_p1_smoke/beijing/24h_1h,24,1,True
trad_daily_naive,deterministic,0,,2.289998519700021e-06,0.0016338950008503,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.5131192207336426,1.2300891108914194,0.8775647878646851,91.66588592529297,65.39588165283203,77.234130859375,,,,experiments/results/baselines_p1_smoke/beijing/24h_1h,24,1,True
trad_climatology,deterministic,0,,0.0061633750010514,0.001635273998545,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9818383455276489,0.990877563338503,0.749829888343811,73.83991241455078,55.877113342285156,71.48023986816406,,,,experiments/results/baselines_p1_smoke/beijing/24h_1h,24,1,True
trad_ar,deterministic,0,,0.0073665829986566,0.0017369940032949,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.08758299052715302,0.2959442355024896,0.13489387929439545,22.053680419921875,10.052254676818848,16.66742706298828,,,,experiments/results/baselines_p1_smoke/beijing/24h_1h,24,1,True
trad_ridge,deterministic,0,,0.013417002002825,0.0017510519974166,test,0,0,A,not_applicable,not_applicable,1,100.0,predictions/trad_ridge.npz,0.08593331277370453,0.2931438431448024,0.14315927028656006,21.84499740600586,10.668188095092773,17.073970794677734,,,,experiments/results/baselines_p1_smoke/beijing/24h_1h,24,1,True
trad_spatial_linear,deterministic,0,,0.0744179260000237,0.0022683799979859,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,0.07438411563634872,0.27273451493411816,0.14249341189861298,20.324098587036133,10.618568420410156,18.95062255859375,,,,experiments/results/baselines_p1_smoke/beijing/24h_1h,24,1,True
