variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage,arm,freeze_backbone,learning_rate_retry,note
degraded_patchtst,2047,30,0.5833536386489868,19.915240823000204,0.026603374999467633,test,22001,21998,False,1.0,0.35257092118263245,0.5937768277582348,0.40824592113494873,44.20042037963867,30.389604568481445,45.941932678222656,43.79959487915039,29.896055221557617,43.79959487915039,29.896055221557617,43.79959487915039,29.896055221557617,43.79959487915039,29.896055221557617,0.0,0.0,0.9986902475357056,0.05520161986351013,0.004239562898874283,0.0,0.0,input,degraded_patchtst,False,True,nonfinite loss at protocol lr; retried once with lr/10
st_sparse_station_bias_delta_forecast,2047,13,0.1080542653799057,13.022373119999429,0.027101700999992318,test,22002,21999,False,1.0,0.08605338633060455,0.29334857478877335,0.15009117126464844,21.836708068847656,11.172704696655273,19.334476470947266,22.009477615356445,11.49860668182373,21.96461296081543,11.300786018371582,22.163341522216797,11.715530395507812,21.794111251831055,11.34322738647461,0.10217021405696869,0.05411409073928016,0.6148764491081238,0.12307721376419067,0.049583811312913895,0.0,0.3726749122142792,forecast,st_sparse_station_bias_delta_forecast,False,,
degraded_patchtst,2048,19,0.1328200399875641,16.514803459999712,0.025308061999567144,test,22001,21998,False,1.0,0.10582093894481659,0.3253013048618413,0.1799720674753189,24.215253829956055,13.397024154663086,24.185522079467773,24.215253829956055,13.397024154663086,24.215253829956055,13.397024154663086,24.215253829956055,13.397024154663086,24.215253829956055,13.397024154663086,0.0,0.0,0.6587284207344055,0.501058042049408,0.032975804060697556,0.0,0.0,input,degraded_patchtst,False,,
st_sparse_station_bias_delta_forecast,2048,29,0.10287974029779434,20.496441971000422,0.026196873000117193,test,22002,21999,False,1.0,0.08084037899971008,0.2843244256122046,0.14408430457115173,21.164953231811523,10.725556373596191,17.831972122192383,21.769947052001953,11.316977500915527,21.678739547729492,11.781667709350586,21.796764373779297,11.805604934692383,21.30478286743164,10.649521827697754,0.10577944666147232,0.05033019543318256,0.48545533418655396,0.43126243352890015,0.07068025320768356,0.0,0.4863755702972412,forecast,st_sparse_station_bias_delta_forecast,False,,
degraded_patchtst,2049,15,0.10680299252271652,14.032358356999794,0.025086913000450295,test,22001,21998,False,1.0,0.08375191688537598,0.2893992344243087,0.15056699514389038,21.542722702026367,11.208123207092285,18.828289031982422,21.542722702026367,11.208123207092285,21.542722702026367,11.208123207092285,21.542722702026367,11.208123207092285,21.542722702026367,11.208123207092285,0.0,0.0,0.9998503923416138,0.06048690155148506,0.0008842988754622638,0.0,0.0,input,degraded_patchtst,False,,
st_sparse_station_bias_delta_forecast,2049,13,0.10709767043590546,12.82677591599986,0.026314018000448414,test,22002,21999,False,1.0,0.08393503725528717,0.28971544186544007,0.1489637792110443,21.56625747680664,11.088784217834473,18.66959571838379,21.801237106323242,11.491937637329102,21.45452880859375,11.090396881103516,21.755229949951172,11.613672256469727,21.531904220581055,11.113546371459961,0.10229752212762833,0.04641742605411825,0.6102392673492432,0.21189267933368683,0.06348162144422531,0.0,0.3155041038990021,forecast,st_sparse_station_bias_delta_forecast,False,,
