variant,seed,best_epoch,beta,trainable_parameter_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
st_rfft,2047,1,0.10039002448320389,610,0.07912425696849823,0.2812903428283634,0.13521838188171387,20.96167755126953,10.076436042785645,16.6558780670166
st_time,2047,28,0.11217472702264786,610,0.07943034917116165,0.2818339035161697,0.1348990648984909,21.002182006835938,10.052640914916992,16.383899688720703
st_rfft,2048,1,0.10038721561431885,610,0.07774463295936584,0.2788272457263921,0.13514293730258942,20.778125762939453,10.070813179016113,16.457029342651367
st_time,2048,20,0.11596213281154633,610,0.07792128622531891,0.27914384504287193,0.1345597207546234,20.801719665527344,10.027352333068848,16.478055953979492
st_rfft,2049,29,0.11853823810815811,610,0.07856633514165878,0.28029686966082723,0.1339723765850067,20.88764190673828,9.983582496643066,16.71143341064453
st_time,2049,8,0.10308602452278137,610,0.07887004315853119,0.28083810845134816,0.13460147380828857,20.927974700927734,10.030463218688965,16.74247169494629
st_rfft,2050,1,0.10005083680152893,610,0.07945229858160019,0.28187284115643385,0.13527172803878784,21.005084991455078,10.080410957336426,16.54608917236328
st_time,2050,2,0.10110651701688766,610,0.07940395921468735,0.28178708134811176,0.13451245427131653,20.998693466186523,10.023829460144043,16.29741668701172
st_rfft,2051,1,0.09974471479654312,610,0.07721266150474548,0.2778716637312007,0.1343275010585785,20.70691680908203,10.01004695892334,16.830482482910156
st_time,2051,21,0.11385926604270935,610,0.07716594636440277,0.2777875921714337,0.1332116723060608,20.700653076171875,9.926896095275879,16.478239059448242
