epoch,train_loss,valid_loss
1,0.07661664808740905,0.12379126250743866
2,0.0763452691194417,0.12347303330898285
3,0.07608041206936865,0.12337462604045868
4,0.07588544509016629,0.12330378592014313
5,0.0755765899418217,0.12313072383403778
6,0.0753505188116974,0.1231156438589096
7,0.07513310192526367,0.12287002801895142
8,0.0749679630589203,0.12317358702421188
9,0.07470229780944376,0.12271355837583542
10,0.07441844423053533,0.12306126207113266
11,0.07433316742488226,0.12313197553157806
12,0.07421067982598561,0.1229630559682846
13,0.0740611420443464,0.12335794419050217
14,0.07391867113595413,0.12329686433076859
15,0.07380080553975488,0.12319961190223694
