task,seed,variant,horizon_step,pollutant_mass_mean,pollutant_mass_std,meteorology_mass_mean,meteorology_mass_std,mass_sum_max_abs_error,beta
168h_6h,2060,F01,1,0.8146758079528809,0.06862562894821167,0.18532423675060272,0.06862561404705048,3.5762786865234375e-07,0.020000003278255463
168h_6h,2060,F01,2,0.28875014185905457,0.0410090908408165,0.711249828338623,0.04100911319255829,3.5762786865234375e-07,0.020000003278255463
168h_6h,2060,F01,3,0.6492336988449097,0.03881245106458664,0.35076627135276794,0.03881244361400604,2.980232238769531e-07,0.020000003278255463
168h_6h,2060,F01,4,0.5305919647216797,0.020105820149183273,0.4694080352783203,0.020105797797441483,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,F01,5,0.5432925224304199,0.022622903808951378,0.4567074775695801,0.022622907534241676,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,F01,6,0.6463767886161804,0.03132924810051918,0.35362327098846436,0.031329214572906494,2.980232238769531e-07,0.020000003278255463
168h_6h,2060,F11,1,0.8146758079528809,0.06862562894821167,0.18532423675060272,0.06862561404705048,3.5762786865234375e-07,0.020000003278255463
168h_6h,2060,F11,2,0.28875014185905457,0.0410090908408165,0.711249828338623,0.04100911319255829,3.5762786865234375e-07,0.020000003278255463
168h_6h,2060,F11,3,0.6492336988449097,0.03881245106458664,0.35076627135276794,0.03881244361400604,2.980232238769531e-07,0.020000003278255463
168h_6h,2060,F11,4,0.5305919647216797,0.020105820149183273,0.4694080352783203,0.020105797797441483,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,F11,5,0.5432925224304199,0.022622903808951378,0.4567074775695801,0.022622907534241676,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,F11,6,0.6463767886161804,0.03132924810051918,0.35362327098846436,0.031329214572906494,2.980232238769531e-07,0.020000003278255463
168h_6h,2060,B1,1,0.8343694806098938,0.06875763088464737,0.16563047468662262,0.06875762343406677,3.5762786865234375e-07,0.020000003278255463
168h_6h,2060,B1,2,0.2788645923137665,0.03677782788872719,0.7211354374885559,0.03677781671285629,2.980232238769531e-07,0.020000003278255463
168h_6h,2060,B1,3,0.6517109274864197,0.019605115056037903,0.34828904271125793,0.019605115056037903,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,B1,4,0.5423543453216553,0.02514621987938881,0.4576456546783447,0.025146234780550003,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,B1,5,0.5719150900840759,0.02416561357676983,0.42808493971824646,0.024165591225028038,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,B1,6,0.6462505459785461,0.028952518478035927,0.35374948382377625,0.028952473774552345,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,B2,1,0.8159210085868835,0.06685542315244675,0.18407899141311646,0.06685543805360794,3.5762786865234375e-07,0.020000003278255463
168h_6h,2060,B2,2,0.2870539128780365,0.04508310556411743,0.7129461169242859,0.045083094388246536,1.7881393432617188e-07,0.020000003278255463
168h_6h,2060,B2,3,0.6512889862060547,0.04560226574540138,0.3487109839916229,0.04560227692127228,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,B2,4,0.5302656292915344,0.02087075263261795,0.4697343111038208,0.020870745182037354,2.384185791015625e-07,0.020000003278255463
168h_6h,2060,B2,5,0.5443658232688904,0.02503279037773609,0.4556342363357544,0.025032799690961838,2.980232238769531e-07,0.020000003278255463
168h_6h,2060,B2,6,0.6453447341918945,0.02958494797348976,0.35465526580810547,0.029584966599941254,1.7881393432617188e-07,0.020000003278255463
168h_6h,2060,B3,1,0.5714285969734192,0.0,0.4285714328289032,0.0,0.0,0.020000003278255463
168h_6h,2060,B3,2,0.5714285969734192,0.0,0.4285714328289032,0.0,0.0,0.020000003278255463
168h_6h,2060,B3,3,0.5714285969734192,0.0,0.4285714328289032,0.0,0.0,0.020000003278255463
168h_6h,2060,B3,4,0.5714285969734192,0.0,0.4285714328289032,0.0,0.0,0.020000003278255463
168h_6h,2060,B3,5,0.5714285969734192,0.0,0.4285714328289032,0.0,0.0,0.020000003278255463
168h_6h,2060,B3,6,0.5714285969734192,0.0,0.4285714328289032,0.0,0.0,0.020000003278255463
