variant,runs,rmse_ugm3_mean,rmse_ugm3_std,mae_ugm3_mean,mae_ugm3_std,smape_percent_mean,smape_percent_std,best_valid_loss_mean,best_valid_loss_std,training_seconds_mean,training_seconds_std,test_inference_seconds_mean,test_inference_seconds_std,alpha_mean,alpha_std,spatial_residual_rms_ratio_mean,spatial_residual_rms_ratio_std,gate_normalized_entropy_mean,gate_normalized_entropy_std,null_neighbor_weight_mean_mean,null_neighbor_weight_mean_std,gate_sample_std_mean_mean,gate_sample_std_mean_std,neighbor_out_weight_norm_mean,neighbor_out_weight_norm_std,spatial_forecast_weight_norm_mean,spatial_forecast_weight_norm_std,zero_neighbor_rmse_ugm3_mean,zero_neighbor_rmse_ugm3_std,shuffle_neighbor_rmse_ugm3_mean,shuffle_neighbor_rmse_ugm3_std,center_copy_neighbor_rmse_ugm3_mean,center_copy_neighbor_rmse_ugm3_std,disable_neighbor_rmse_ugm3_mean,disable_neighbor_rmse_ugm3_std
degraded_patchtst,1,50.519622802734375,0.0,32.46913146972656,0.0,51.56446838378906,0.0,0.46193891763687134,0.0,43.176490357996954,0.0,0.03129643900319934,0.0,0.0,0.0,0.0,0.0,0.9994996190071106,0.0,0.04922156780958176,0.0,0.002146072220057249,0.0,0.0,0.0,0.0,0.0,50.519622802734375,0.0,50.519622802734375,0.0,50.519622802734375,0.0,50.519622802734375,0.0
st_pairwise_delta_forecast,1,50.1322021484375,0.0,32.25139617919922,0.0,51.127201080322266,0.0,0.45488107204437256,0.0,43.67872132299817,0.0,0.0313123829982942,0.0,0.10996551811695099,0.0,0.04550127418968006,0.0,0.7047858238220215,0.0,0.4079151451587677,0.0,0.04020332172513008,0.0,0.0,0.0,1.1277575492858887,0.0,51.09556198120117,0.0,51.18002700805664,0.0,50.22509002685547,0.0,50.864051818847656,0.0
st_station_bias_delta_forecast,1,50.12864685058594,0.0,32.24590301513672,0.0,51.11561965942383,0.0,0.4548165500164032,0.0,43.744184282004426,0.0,0.031807031999051105,0.0,0.10997200012207031,0.0,0.045830153925968134,0.0,0.6961981058120728,0.0,0.41490039229393005,0.0,0.040454622358083725,0.0,0.0,0.0,1.1298984289169312,0.0,51.095497131347656,0.0,51.19365310668945,0.0,50.22065353393555,0.0,50.87101364135742,0.0
