variant,seed,horizon_step,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
degraded_patchtst_clean,2052,1,0.11021524667739868,0.33198681702350574,0.20986147224903107,24.746017456054688,15.642897605895996,29.962535858154297
degraded_patchtst_clean,2052,2,0.26363903284072876,0.513457917302605,0.3303140103816986,38.27272415161133,24.621326446533203,40.48414611816406
degraded_patchtst_clean,2052,3,0.414410799741745,0.643747465813843,0.4285471737384796,47.98439407348633,31.943546295166016,49.12380599975586
degraded_patchtst_clean,2052,4,0.5460144281387329,0.7389278910277598,0.5091509819030762,55.079063415527344,37.95168685913086,54.710411071777344
degraded_patchtst_clean,2052,5,0.6710628867149353,0.819184281291417,0.5788834691047668,61.061309814453125,43.14948654174805,61.23881530761719
degraded_patchtst_clean,2052,6,0.7866987586021423,0.886960404190707,0.6358677744865417,66.11328125,47.39704895019531,65.08287048339844
locked_st_clean,2052,1,0.10679911822080612,0.32680134366432173,0.20372839272022247,24.359498977661133,15.18574333190918,29.75562858581543
locked_st_clean,2052,2,0.25882238149642944,0.5087458908889874,0.32672470808029175,37.92149353027344,24.353782653808594,40.42311096191406
locked_st_clean,2052,3,0.4065152704715729,0.6375855005186151,0.42348983883857727,47.525089263916016,31.56657600402832,48.74348831176758
locked_st_clean,2052,4,0.5363378524780273,0.7323509080202109,0.5025489926338196,54.58882522583008,37.45957946777344,53.90815734863281
locked_st_clean,2052,5,0.6610944271087646,0.8130771347841266,0.5735113024711609,60.60608673095703,42.74905014038086,60.5577392578125
locked_st_clean,2052,6,0.7778056263923645,0.881932892227274,0.6318651437759399,65.73853302001953,47.09870147705078,64.32342529296875
degraded_patchtst_clean,2053,1,0.11264141649007797,0.3356209416739038,0.21717628836631775,25.016902923583984,16.188138961791992,30.056798934936523
degraded_patchtst_clean,2053,2,0.2683057487010956,0.5179823826165284,0.3328334093093872,38.6099739074707,24.80912208557129,39.1900634765625
degraded_patchtst_clean,2053,3,0.4136478900909424,0.6431546393294092,0.4256204068660736,47.940208435058594,31.725387573242188,47.31894302368164
degraded_patchtst_clean,2053,4,0.5356314182281494,0.7318684432520297,0.4944305121898651,54.552860260009766,36.85443878173828,51.322669982910156
degraded_patchtst_clean,2053,5,0.6503756046295166,0.8064586812909367,0.5636983513832092,60.11275863647461,42.01759719848633,57.39677047729492
degraded_patchtst_clean,2053,6,0.7773035168647766,0.8816481820231791,0.6304140686988831,65.71731567382812,46.990535736083984,62.466365814208984
locked_st_clean,2053,1,0.10644061863422394,0.32625238487132,0.2016436904668808,24.318578720092773,15.030350685119629,29.51798439025879
locked_st_clean,2053,2,0.254451185464859,0.5044315468573105,0.31137537956237793,37.59990692138672,23.209659576416016,37.80263900756836
locked_st_clean,2053,3,0.397085964679718,0.6301475737315173,0.41271620988845825,46.97066879272461,30.763521194458008,48.07001495361328
locked_st_clean,2053,4,0.519092321395874,0.7204806183346462,0.4848135709762573,53.704017639160156,36.137596130371094,52.58425521850586
locked_st_clean,2053,5,0.6310832500457764,0.7944074836290104,0.5536326169967651,59.21446990966797,41.26730728149414,58.55616760253906
locked_st_clean,2053,6,0.7606233954429626,0.8721372572267295,0.621856153011322,65.00837707519531,46.352638244628906,63.75825500488281
degraded_patchtst_clean,2054,1,0.1180926039814949,0.34364604461785225,0.21830107271671295,25.615087509155273,16.2719783782959,33.631561279296875
degraded_patchtst_clean,2054,2,0.27163073420524597,0.5211820547613338,0.3321532607078552,38.848472595214844,24.758426666259766,45.922000885009766
degraded_patchtst_clean,2054,3,0.4225611388683319,0.6500470281974465,0.4326692521572113,48.45396041870117,32.25080108642578,53.541954040527344
degraded_patchtst_clean,2054,4,0.5606209635734558,0.7487462611415537,0.5152584314346313,55.8109130859375,38.40693283081055,58.50174331665039
degraded_patchtst_clean,2054,5,0.6888197064399719,0.8299516289760337,0.5859788656234741,61.86389923095703,43.678367614746094,63.52363967895508
degraded_patchtst_clean,2054,6,0.8111401200294495,0.9006331772866517,0.6481977701187134,67.13243865966797,48.31611633300781,68.47289276123047
locked_st_clean,2054,1,0.11686951667070389,0.3418618385703556,0.2160661667585373,25.48209571838379,16.105390548706055,33.09065246582031
locked_st_clean,2054,2,0.26407718658447266,0.5138844097503569,0.32742175459861755,38.30451583862305,24.405742645263672,44.727325439453125
locked_st_clean,2054,3,0.4091086983680725,0.6396160554333142,0.4264550805091858,47.67644500732422,31.78760528564453,53.242706298828125
locked_st_clean,2054,4,0.5439150333404541,0.7375059547830473,0.5089163780212402,54.97307586669922,37.934200286865234,58.44265365600586
locked_st_clean,2054,5,0.6678459644317627,0.817218431284906,0.5780944228172302,60.91477584838867,43.09067916870117,62.62574005126953
locked_st_clean,2054,6,0.7891890406608582,0.8883631243252155,0.6416364312171936,66.21784210205078,47.827049255371094,67.7298812866211
