epoch,train_loss,valid_loss,learning_rate
1,1.0579234419418615,3.2913033962249756,0.001
2,1.3584100374928783,3.008692741394043,0.001
3,1.0498494891926753,2.25732684135437,0.001
4,0.745056723252417,0.9530239701271057,0.001
5,0.40834708251278623,1.191036581993103,0.001
6,0.712314106938725,3.383244037628174,0.001
7,1.3798172876736503,4.406805515289307,0.001
8,1.6816573935391939,4.044956207275391,0.0005
9,1.6713240647831225,3.3370018005371094,0.0005
10,1.4307207303962133,2.94447922706604,0.0005
11,1.2477095917930927,2.3012537956237793,0.0005
12,1.090793862636369,1.866005539894104,0.00025
