task,variant,seed,epoch,train_loss,validation_loss,learning_rate,patchtst_eval_during_locked_training,patchtst_persistent_state_sha256,patchtst_complete_state_sha256,patchtst_all_parameters_buffers_equal_to_initialization
24h_1h,F10,2060,1,0.04651041637030238,0.10452605038881302,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,2,0.04632720100914799,0.10361368209123611,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,3,0.04591094507313118,0.10234414786100388,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,4,0.045569670382343094,0.10141165554523468,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,5,0.04537835766481432,0.10158482939004898,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,6,0.04525494494261348,0.10121520608663559,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,7,0.04499696802833382,0.1006973460316658,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,8,0.04492712007578128,0.10091972351074219,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,9,0.04481596963939982,0.10076085478067398,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
24h_1h,F10,2060,10,0.04468126397655536,0.10022493451833725,0.001,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True
