task,variant,seed,epoch,train_loss,validation_loss,learning_rate
24h_1h,F11,2062,1,0.04014485993452453,0.09148067235946655,0.001
24h_1h,F11,2062,2,0.040138971119065184,0.09148554503917694,0.001
24h_1h,F11,2062,3,0.04012432921563166,0.09150372445583344,0.001
24h_1h,F11,2062,4,0.04009385666301927,0.09152049571275711,0.001
24h_1h,F11,2062,5,0.040046068946461934,0.09142152220010757,0.001
24h_1h,F11,2062,6,0.03998360529995738,0.09122034162282944,0.001
24h_1h,F11,2062,7,0.03992940587819247,0.09105245769023895,0.001
24h_1h,F11,2062,8,0.03989219312271263,0.09101732075214386,0.001
24h_1h,F11,2062,9,0.039915828225791414,0.09094943851232529,0.001
24h_1h,F11,2062,10,0.03988042808264084,0.0911620706319809,0.001
24h_1h,F11,2062,11,0.03985170993195224,0.09093473851680756,0.001
24h_1h,F11,2062,12,0.03983253342561185,0.09093628823757172,0.001
24h_1h,F11,2062,13,0.03980478241102869,0.09086684882640839,0.001
24h_1h,F11,2062,14,0.0397879916420737,0.09086959064006805,0.001
24h_1h,F11,2062,15,0.03978560666096859,0.09095718711614609,0.001
24h_1h,F11,2062,16,0.039771986100639714,0.09101663529872894,0.001
24h_1h,F11,2062,17,0.039732811408948104,0.09076887369155884,0.001
24h_1h,F11,2062,18,0.039726500612267034,0.09073501080274582,0.001
24h_1h,F11,2062,19,0.039715881483201196,0.09104477614164352,0.001
24h_1h,F11,2062,20,0.03967993204758186,0.09065373986959457,0.001
24h_1h,F11,2062,21,0.03969421741731353,0.09081313759088516,0.001
24h_1h,F11,2062,22,0.03965608916625371,0.09069953858852386,0.001
24h_1h,F11,2062,23,0.03964301072104975,0.09071195870637894,0.001
24h_1h,F11,2062,24,0.0396096474578276,0.09069453924894333,0.0005
24h_1h,F11,2062,25,0.03959116141830852,0.09070660173892975,0.0005
24h_1h,F11,2062,26,0.03956682904798491,0.09074433147907257,0.0005
24h_1h,F11,2062,27,0.03955854492819458,0.09084110707044601,0.0005
24h_1h,F11,2062,28,0.03956160531882453,0.09064216166734695,0.0005
24h_1h,F11,2062,29,0.039545106298406685,0.09079176187515259,0.0005
24h_1h,F11,2062,30,0.039530443175212183,0.09065422415733337,0.0005
24h_1h,F11,2062,31,0.039528166007960476,0.09078671783208847,0.0005
24h_1h,F11,2062,32,0.03951612997802551,0.09054426103830338,0.0005
24h_1h,F11,2062,33,0.03950310942485743,0.09073563665151596,0.0005
24h_1h,F11,2062,34,0.03949096380015097,0.09070222079753876,0.0005
24h_1h,F11,2062,35,0.03948992773275713,0.09066487848758698,0.0005
24h_1h,F11,2062,36,0.03950241211247975,0.09085998684167862,0.00025
24h_1h,F11,2062,37,0.03946634931898461,0.09079504013061523,0.00025
24h_1h,F11,2062,38,0.03946406157356739,0.09072975069284439,0.00025
24h_1h,F11,2062,39,0.03945634170107851,0.09062819927930832,0.00025
24h_1h,F11,2062,40,0.03945460469604085,0.09071973711252213,0.000125
