epoch,train_loss,valid_loss
1,0.5762795126424346,0.9753669500350952
2,0.4333391906821367,0.8477265238761902
3,0.3914683208640577,0.7576299905776978
4,0.3734281764018238,0.7389379739761353
5,0.36008476708463094,0.7334952354431152
6,0.35129176386921324,0.7249307632446289
7,0.3483117890961014,0.736270546913147
8,0.34154528678498164,0.7138288021087646
9,0.33805294049379353,0.722681999206543
10,0.33551078507143084,0.7019519805908203
11,0.33570358133016487,0.6989288926124573
12,0.33157287802868074,0.7024472951889038
13,0.3319739531605554,0.7092926502227783
14,0.33096552268101725,0.6887837648391724
15,0.3311662218958548,0.6926810145378113
16,0.3264387877426141,0.7019587755203247
17,0.32739691188718134,0.6698287129402161
18,0.3238884764459433,0.6821658611297607
19,0.32187740165037565,0.690955400466919
20,0.32108325783054303,0.6787204742431641
21,0.32238074428661934,0.6645938158035278
22,0.31817763219551326,0.6714296936988831
23,0.32175468125901435,0.6716634035110474
24,0.3172691910793849,0.6892380118370056
25,0.31837633963083706,0.6804258823394775
26,0.3161123474041555,0.6685358881950378
27,0.31368636829259083,0.6729093790054321
