task,train_seed,permutation_seed,diagnostic_origin_count,excluded_tail_origin_count,rmse_base,rmse_original_M,rmse_shuffled_M,G_orig,G_shuffle
24h_1h,2060,3101,48,0,43.98258559453895,43.98331334722378,43.983296417902935,-0.0007277526848241678,-0.0007108233639812056
24h_1h,2060,3102,48,0,43.98258559453895,43.98331334722378,43.983296417902935,-0.0007277526848241678,-0.0007108233639812056
24h_1h,2060,3103,48,0,43.98258559453895,43.98331334722378,43.983296417902935,-0.0007277526848241678,-0.0007108233639812056
24h_1h,2060,3104,48,0,43.98258559453895,43.98331334722378,43.983296417902935,-0.0007277526848241678,-0.0007108233639812056
24h_1h,2060,3105,48,0,43.98258559453895,43.98331334722378,43.98331334722378,-0.0007277526848241678,-0.0007277526848241678
168h_6h,2060,3101,48,0,67.1273621120222,67.12638211636587,67.12640539075565,0.0009799956563227852,0.0009567212665473335
168h_6h,2060,3102,48,0,67.1273621120222,67.12638211636587,67.12640539075565,0.0009799956563227852,0.0009567212665473335
168h_6h,2060,3103,48,0,67.1273621120222,67.12638211636587,67.12640539075565,0.0009799956563227852,0.0009567212665473335
168h_6h,2060,3104,48,0,67.1273621120222,67.12638211636587,67.12640539075565,0.0009799956563227852,0.0009567212665473335
168h_6h,2060,3105,48,0,67.1273621120222,67.12638211636587,67.12638211636587,0.0009799956563227852,0.0009799956563227852
