variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,4,0.10393045842647552,10,5901,20.273611970445224,14.290268000719733,40.41497039890449,18876
st_time,7001,1,0.1008010059595108,7,5901,20.28006854967639,14.252822299103636,40.315959633927946,18876
st_rfft,7002,7,0.10702608525753021,13,5901,20.210095986112005,14.282906794098379,40.15451239423902,18876
st_time,7002,2,0.10170543193817139,8,5901,20.20544102475194,14.257160404724296,40.12493728451692,18876
st_rfft,7003,5,0.1052156314253807,11,5901,20.19222590127796,14.340565298795447,40.49072005127019,18876
st_time,7003,1,0.1007906049489975,7,5901,20.214383010027866,14.314109501128328,40.43475736969117,18876
st_rfft,7004,5,0.10526756197214127,11,5901,20.23623189313142,14.301574047906694,40.40221447553647,18876
st_time,7004,3,0.10289465636014938,9,5901,20.21113127574862,14.296479553761031,40.41410799509422,18876
st_rfft,7005,5,0.10428180545568466,11,5901,20.046008040145484,14.08982451655749,39.75164589069915,18876
st_time,7005,1,0.10069311410188675,7,5901,20.066451810918455,14.078137076439102,39.719040154277906,18876
