variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,28,0.12735426425933838,30,610,7.037389936369591,4.988015704684788,17.858145585993537,1584
st_time,7001,16,0.11422000825405121,22,610,7.036438135660003,4.991868476675014,17.867676736074216,1584
st_rfft,7002,27,0.12576521933078766,30,610,6.974314440173178,4.942629581750041,17.61472989422691,1584
st_time,7002,22,0.11662022024393082,28,610,6.978608382727952,4.9535414859502005,17.646902140835397,1584
st_rfft,7003,27,0.12697342038154602,30,610,7.177128539426663,5.142505029235223,18.54327135608903,1584
st_time,7003,27,0.11588321626186371,30,610,7.1856141503705775,5.175067045471885,18.662392588404067,1584
st_rfft,7004,30,0.1278102844953537,30,610,7.055313251561349,5.011555111769474,18.02059075406585,1584
st_time,7004,29,0.1253671497106552,30,610,7.0683810316269575,5.024206197623051,18.137467721523944,1584
st_rfft,7005,12,0.10439770668745041,18,610,7.529167107132634,5.333345375879847,18.863694938087463,1584
st_time,7005,7,0.10325579345226288,13,610,7.520145717729593,5.322294338785037,18.828933318447802,1584
