variant,seed,rmse_difference_ugm3,mae_difference_ugm3,rmse_relative_change_percent
st_center_only,2024,0.19897079467773438,-0.020917892456054688,0.4765356944960164
st_center_only,2025,0.11358642578125,0.008640289306640625,0.2609511905766526
st_center_only,2026,0.017070770263671875,-0.05558586120605469,0.04006837141545816
st_pairwise,2024,0.22914886474609375,0.0002918243408203125,0.5488122695676001
st_pairwise,2025,0.2511749267578125,0.07854843139648438,0.5770442702958567
st_pairwise,2026,0.017948150634765625,-0.05191612243652344,0.04212775139880165
st_pairwise_delta,2024,-0.5437049865722656,-0.2805957794189453,-1.302175195092392
st_pairwise_delta,2025,-1.3911857604980469,-0.8461761474609375,-3.196082436948988
st_pairwise_delta,2026,-0.9616966247558594,-0.44274139404296875,-2.257286399765046
st_pairwise_delta_forecast,2024,-0.11715316772460938,-0.13187026977539062,-0.28058221426153773
st_pairwise_delta_forecast,2025,-0.3286094665527344,-0.1549053192138672,-0.7549408385896461
st_pairwise_delta_forecast,2026,-0.14180374145507812,-0.036998748779296875,-0.3328405744416618
st_sparse_delta_forecast,2024,-0.11050033569335938,-0.10689163208007812,-0.26464866010594834
st_sparse_delta_forecast,2025,-0.2626686096191406,-0.060821533203125,-0.60344962820853
st_sparse_delta_forecast,2026,-0.2298583984375,-0.06830596923828125,-0.5395217403372565
st_confident_delta_forecast,2024,-0.1244659423828125,-0.1500530242919922,-0.2980963331355335
st_confident_delta_forecast,2025,-0.2730598449707031,-0.10412406921386719,-0.6273222451863236
st_confident_delta_forecast,2026,-0.14311599731445312,-0.05770683288574219,-0.3359206905906964
st_station_bias_delta_forecast,2024,-0.12822341918945312,-0.14175033569335938,-0.3070955021970301
st_station_bias_delta_forecast,2025,-0.33808135986328125,-0.16179275512695312,-0.7767013774868103
st_station_bias_delta_forecast,2026,-0.14981842041015625,-0.044857025146484375,-0.35165256289838576
st_sparse_station_bias_delta_forecast,2024,-0.25896453857421875,-0.2671356201171875,-0.6202209044758766
st_sparse_station_bias_delta_forecast,2025,-0.3823661804199219,-0.13198471069335938,-0.8784404415452585
st_sparse_station_bias_delta_forecast,2026,-0.21287918090820312,-0.06876754760742188,-0.49966826074615556
