variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon,learning_rate_retry,note
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7001,completed,7,0.6963415145874023,2.474600935000126,0.012064608999935444,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7001.npz,0.22846610844135284,0.47798128461410794,0.3595435917377472,13.764814376831055,10.354068756103516,29.564815521240234,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7002,nonfinite,0,,,,test,16903,16903,C,matched,matched_nearest,6,,,,,,,,,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",non-finite training loss at protocol lr and at lr/10: plain_mix_patchtst_all_matched seed=7002 has non-finite training loss,AMD Radeon RX 7600,256.0,24.0,1.0,,
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7003,nonfinite,0,,,,test,16903,16903,C,matched,matched_nearest,6,,,,,,,,,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",non-finite training loss at protocol lr and at lr/10: plain_mix_patchtst_all_matched seed=7003 has non-finite training loss,AMD Radeon RX 7600,256.0,24.0,1.0,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7001,completed,7,0.6963415145874023,2.476541131999511,0.011962280000261671,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed7001.npz,0.22846610844135284,0.47798128461410794,0.3595435917377472,13.764814376831055,10.354068756103516,29.564815521240234,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7002,nonfinite,0,,,,test,16903,16903,C,matched,matched_nearest,6,,,,,,,,,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",non-finite training loss at protocol lr and at lr/10: plain_mix_patchtst_top5_matched seed=7002 has non-finite training loss,AMD Radeon RX 7600,256.0,24.0,1.0,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7003,completed,1,4.7682576179504395,1.5072441510001227,0.011944990000301914,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed7003.npz,0.8292133808135986,0.9106115422141313,0.6078121662139893,26.223617553710938,17.503660202026367,45.53657913208008,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,True,nonfinite loss at protocol lr; retried once with lr/10
multi_gru_matched,multi_gru,7001,completed,18,0.12188056111335754,3.6745527120001498,0.00842588799969235,test,21201,21201,C,matched,matched,6,,predictions/multi_gru_matched_seed7001.npz,0.04700508713722229,0.21680656617644745,0.12734466791152954,6.243554592132568,3.6672472953796387,9.75236988067627,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 80}",,,,,,,
multi_gru_matched,multi_gru,7002,completed,22,0.12280139327049255,4.227994192000551,0.008214718999624893,test,21201,21201,C,matched,matched,6,,predictions/multi_gru_matched_seed7002.npz,0.04925514757633209,0.22193500755025578,0.1310095489025116,6.391242027282715,3.7727880477905273,10.159852027893066,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 80}",,,,,,,
multi_gru_matched,multi_gru,7003,completed,40,0.1987759917974472,5.723770923999837,0.01563979399998061,test,21201,21201,C,matched,matched,6,,predictions/multi_gru_matched_seed7003.npz,0.08479037135839462,0.2911878626563865,0.1858927458524704,8.38557243347168,5.353304386138916,14.822017669677734,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 80}",,,,,,True,nonfinite loss at protocol lr; retried once with lr/10
center_gru_matched,center_gru,7001,completed,18,0.12371563166379929,3.6957546009998623,0.008575427000323543,test,20993,20993,B,matched,matched,1,,predictions/center_gru_matched_seed7001.npz,0.05062546581029892,0.22500103513161648,0.13289569318294525,6.479537010192871,3.8271048069000244,10.236024856567383,[0],"{""hidden_size"": 82}",,,,,,,
center_gru_matched,center_gru,7002,completed,25,0.12324004620313644,4.65423452899995,0.008511607000400545,test,20993,20993,B,matched,matched,1,,predictions/center_gru_matched_seed7002.npz,0.04965992644429207,0.22284507273954268,0.13078655302524567,6.417449951171875,3.7663662433624268,9.953137397766113,[0],"{""hidden_size"": 82}",,,,,,,
center_gru_matched,center_gru,7003,completed,18,0.12297181785106659,3.711680131000321,0.008530538000741217,test,20993,20993,B,matched,matched,1,,predictions/center_gru_matched_seed7003.npz,0.0497957207262516,0.22314954789613983,0.13030065596103668,6.426218032836914,3.752373695373535,9.8704252243042,[0],"{""hidden_size"": 82}",,,,,,,
