variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,10,0.10804547369480133,16,3015,16.55106073357754,11.237887261712604,32.72732421249851,9474
st_time,7001,14,0.10664036870002747,20,3015,16.505432517459752,11.172655710168396,32.50078549059259,9474
st_rfft,7002,7,0.10723912715911865,13,3015,16.76537064978164,11.582120115655822,33.84283416203502,9474
st_time,7002,1,0.10056587308645248,7,3015,16.811028332291798,11.588146079459824,33.84025726934009,9474
st_rfft,7003,6,0.10645919293165207,12,3015,16.777091527455465,11.499916631711896,33.71517618742245,9474
st_time,7003,3,0.10283469408750534,9,3015,16.75684156590957,11.469631634559816,33.63509699158848,9474
st_rfft,7004,18,0.11901115626096725,24,3015,16.482143411562106,11.15558067323388,32.55519985996066,9474
st_time,7004,9,0.1082184761762619,15,3015,16.487269050676094,11.144436239516757,32.49153951421269,9474
st_rfft,7005,5,0.10475791245698929,11,3015,16.757809926063334,11.351463181171736,33.02663359090269,9474
st_time,7005,2,0.10161866992712021,8,3015,16.779133217965306,11.370639582185623,33.06222012958893,9474
