variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage,arm,freeze_backbone
degraded_patchtst,2047,14,0.10293164849281311,6.639210123001249,0.015166786004556343,test,21233,21230,False,1.0,0.0838359147310257,0.2895443225674192,0.13356193900108337,21.576759338378906,9.952999114990234,15.955224990844727,21.576759338378906,9.952999114990234,21.576759338378906,9.952999114990234,21.576759338378906,9.952999114990234,21.576759338378906,9.952999114990234,0.0,0.0,0.9992737770080566,0.048092834651470184,0.002866138471290469,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2047,34,0.09366954863071442,11.850268056005007,0.01566500800254289,test,21234,21231,False,1.0,0.07966451346874237,0.2822490274008794,0.1383359134197235,21.033117294311523,10.308752059936523,17.59187126159668,21.623746871948242,10.20505428314209,22.569412231445312,12.277217864990234,22.985431671142578,12.954906463623047,21.65281105041504,10.306490898132324,0.12737581133842468,0.06379939023689021,0.5987721085548401,0.10038083791732788,0.0517941452562809,0.0,0.735374391078949,forecast,st_sparse_station_bias_delta_forecast,False
degraded_patchtst,2048,14,0.10426198691129684,6.305536337997182,0.014558266004314646,test,21233,21230,False,1.0,0.08211751282215118,0.2865615340937286,0.1330355703830719,21.354482650756836,9.913771629333496,15.617685317993164,21.354482650756836,9.913771629333496,21.354482650756836,9.913771629333496,21.354482650756836,9.913771629333496,21.354482650756836,9.913771629333496,0.0,0.0,0.9983871579170227,0.05276001989841461,0.003617003560066223,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2048,38,0.09058699011802673,11.586253740999382,0.017062696992070414,test,21234,21231,False,1.0,0.0761706531047821,0.27599031342563835,0.13296186923980713,20.566720962524414,9.908281326293945,16.955875396728516,21.391845703125,10.228014945983887,22.211971282958984,11.686447143554688,22.69922637939453,12.57115364074707,21.221540451049805,9.999049186706543,0.1275009959936142,0.05943208745968972,0.5754008293151855,0.2748291492462158,0.05320054665207863,0.0,0.8914036154747009,forecast,st_sparse_station_bias_delta_forecast,False
degraded_patchtst,2049,32,0.10107993334531784,11.339629113004776,0.01449559700267855,test,21233,21230,False,1.0,0.08386745303869247,0.2895987794150598,0.13507391512393951,21.58081817626953,10.065670013427734,15.946199417114258,21.58081817626953,10.065670013427734,21.58081817626953,10.065670013427734,21.58081817626953,10.065670013427734,21.58081817626953,10.065670013427734,0.0,0.0,0.9997602105140686,0.05970124900341034,0.0012334092753008008,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2049,35,0.09593101590871811,11.63882569099951,0.015116105991182849,test,21234,21231,False,1.0,0.07776172459125519,0.2788578931844232,0.13508887588977814,20.780410766601562,10.066783905029297,16.82917594909668,21.556251525878906,10.563373565673828,22.12881088256836,12.066803932189941,22.371183395385742,12.314966201782227,21.125276565551758,10.059759140014648,0.11352375149726868,0.05872218819419137,0.5132024884223938,0.40631383657455444,0.06607206910848618,0.0,0.6432552337646484,forecast,st_sparse_station_bias_delta_forecast,False
degraded_patchtst,2050,16,0.10228811949491501,6.703801342999213,0.014428387003135867,test,21233,21230,False,1.0,0.08436757326126099,0.29046096684625455,0.13496755063533783,21.64506721496582,10.057743072509766,15.715837478637695,21.64506721496582,10.057743072509766,21.64506721496582,10.057743072509766,21.64506721496582,10.057743072509766,21.64506721496582,10.057743072509766,0.0,0.0,0.9974158406257629,0.06239435821771622,0.004715250805020332,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2050,37,0.09349524974822998,11.888421296986053,0.015608799003530294,test,21234,21231,False,1.0,0.07831690460443497,0.2798515760263554,0.13838635385036469,20.854459762573242,10.312512397766113,17.292539596557617,21.666379928588867,10.523026466369629,22.75906753540039,12.425012588500977,23.269973754882812,13.275203704833984,21.460678100585938,10.291792869567871,0.13067124783992767,0.062034468908708854,0.6056442856788635,0.14431332051753998,0.040833454579114914,0.0,0.744679868221283,forecast,st_sparse_station_bias_delta_forecast,False
degraded_patchtst,2051,24,0.10010518878698349,9.16829592299473,0.015234235004754737,test,21233,21230,False,1.0,0.08219726383686066,0.2867006519644848,0.13500377535820007,21.364850997924805,10.060443878173828,16.647369384765625,21.364850997924805,10.060443878173828,21.364850997924805,10.060443878173828,21.364850997924805,10.060443878173828,21.364850997924805,10.060443878173828,0.0,0.0,0.9971113801002502,0.07814710587263107,0.004079567268490791,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2051,31,0.09397748112678528,11.271856633000425,0.015267814000253566,test,21234,21231,False,1.0,0.07717874646186829,0.2778106305775002,0.13458086550235748,20.702369689941406,10.02892780303955,16.77848243713379,21.486906051635742,10.532758712768555,22.21340560913086,12.05780029296875,22.495798110961914,12.464644432067871,21.076723098754883,10.009932518005371,0.11586509644985199,0.052324369509577424,0.5578584671020508,0.3369642496109009,0.061361875385046005,0.0,0.6875194907188416,forecast,st_sparse_station_bias_delta_forecast,False
