variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,30,0.12824571132659912,30,610,6.186841551440338,4.391635796036383,19.54288172389277,1584
st_time,7001,26,0.12039428949356079,30,610,6.186751203985076,4.393537222737014,19.49350802158597,1584
st_rfft,7002,17,0.11977043002843857,23,610,6.403353390794449,4.585316496666032,20.439246083413156,1584
st_time,7002,7,0.1067124754190445,13,610,6.4323981193162085,4.6078123516506615,20.40697889990494,1584
st_rfft,7003,30,0.12317617982625961,30,610,6.2192509426929155,4.423436235899877,19.943089328624765,1584
st_time,7003,9,0.10692347586154938,15,610,6.225823459987655,4.420097412485065,19.760382325726855,1584
st_rfft,7004,30,0.13470439612865448,30,610,6.435622653470084,4.551539950900608,19.679098453417428,1584
st_time,7004,27,0.13232217729091644,30,610,6.425428643123078,4.543945043978065,19.78495107154031,1584
st_rfft,7005,30,0.12858769297599792,30,610,6.2968900953307445,4.42607052278037,19.17703084633779,1584
st_time,7005,27,0.1222715675830841,30,610,6.301488026063115,4.434857360040299,19.352548340581937,1584
