epoch,train_loss,valid_loss,learning_rate
1,0.876833990453247,1.5845681428909302,0.001
2,0.7683652438752318,1.5124224424362183,0.001
3,0.74418470620679,1.5016855001449585,0.001
4,0.7366632207004061,1.4820512533187866,0.001
5,0.7334491968115816,1.4821444749832153,0.001
6,0.7313424622177941,1.477125644683838,0.001
7,0.7267412987375361,1.4740798473358154,0.001
8,0.7259259870705556,1.4590792655944824,0.001
9,0.7266177851599853,1.456485390663147,0.001
10,0.7276666456997483,1.464924931526184,0.001
11,0.718094273079886,1.4630227088928223,0.001
12,0.7222934706345173,1.4659020900726318,0.001
13,0.7184399827950743,1.442731261253357,0.001
14,0.7142905509360483,1.4283592700958252,0.001
15,0.7116214828835997,1.4155172109603882,0.001
16,0.7104464784413601,1.4042251110076904,0.001
17,0.7134610366324828,1.4146672487258911,0.001
18,0.7080670776650991,1.4008320569992065,0.001
19,0.7093039622832994,1.3980752229690552,0.001
20,0.7019485022263715,1.3861958980560303,0.001
21,0.701817572918226,1.4023778438568115,0.001
22,0.7060535169953419,1.3957273960113525,0.001
23,0.6984794593029363,1.3696262836456299,0.001
24,0.7002716085953407,1.3896512985229492,0.001
25,0.6986034943405028,1.3801897764205933,0.001
26,0.6919170154823907,1.3619091510772705,0.001
27,0.700188269193377,1.3574886322021484,0.001
28,0.6958818715368066,1.3666596412658691,0.001
29,0.695412118868039,1.3467179536819458,0.001
30,0.6959511501844994,1.361204743385315,0.001
31,0.6930950730330515,1.3488694429397583,0.001
32,0.6936205946572356,1.3653266429901123,0.001
33,0.6949886984073798,1.3683607578277588,0.0005
34,0.6873476489642972,1.3507496118545532,0.0005
35,0.6891376128214698,1.3494627475738525,0.0005
36,0.6820340623599933,1.346140742301941,0.0005
37,0.6883848651273659,1.3597075939178467,0.0005
38,0.6838373505183762,1.3409134149551392,0.0005
39,0.689943376213317,1.3414965867996216,0.0005
40,0.6852418418633467,1.3435055017471313,0.0005
