variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,27,0.12657663226127625,30,5901,16.998179649949208,11.427114461051957,35.22098191598514,20604
st_time,7001,18,0.12835922837257385,24,5901,17.003790332092542,11.390217486133253,34.990080802528176,20604
st_rfft,7002,28,0.12862882018089294,30,5901,16.917490938634543,11.35891396521226,35.24616477731015,20604
st_time,7002,19,0.12929677963256836,25,5901,16.88692509619517,11.289313451499991,34.98954439613054,20604
st_rfft,7003,29,0.1299266517162323,30,5901,17.005355357215727,11.362739822744652,35.218307400717755,20604
st_time,7003,21,0.13593058288097382,27,5901,16.999897586301447,11.307661242865516,34.98301819745898,20604
st_rfft,7004,30,0.14564727246761322,30,5901,16.916524169605957,11.316878985210753,35.16268567740741,20604
st_time,7004,30,0.14071716368198395,30,5901,16.960055671471565,11.316088790778766,35.05837996099591,20604
st_rfft,7005,1,0.1016906201839447,7,5901,17.10816714239091,11.420624821192083,35.402685843853625,20604
st_time,7005,27,0.13595035672187805,30,5901,16.924280987149643,11.262590169767758,34.89653925800798,20604
