variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2024,22,0.46193891763687134,43.65012704000401,0.03952863599988632,valid,31078,0.46193891763687134,0.6796608842922118,0.43682029843330383,50.519622802734375,32.46913146972656,51.56446838378906,50.519622802734375,32.46913146972656,50.519622802734375,32.46913146972656,50.519622802734375,32.46913146972656,0.0,0.0,0.9994996190071106,0.04922156780958176,0.002146072220057249,0.0,0.0,input
st_pairwise_delta_forecast,2024,22,0.45488107204437256,46.06455436899705,0.040337020000151824,valid,31079,0.45488107204437256,0.6744487171344998,0.43389102816581726,50.1322021484375,32.25139617919922,51.127201080322266,51.09556198120117,33.63717269897461,50.24055099487305,32.33194351196289,50.22509002685547,32.08253479003906,0.10996551811695099,0.04550127418968006,0.7047858238220215,0.4079151451587677,0.04020332172513008,0.0,1.1277575492858887,forecast
