variant,seed,horizon_step,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
locked_st_clean,2052,1,0.10679911822080612,0.32680134366432173,0.20372839272022247,24.359498977661133,15.18574333190918,29.75562858581543
locked_st_clean,2052,2,0.25882238149642944,0.5087458908889874,0.32672470808029175,37.92149353027344,24.353782653808594,40.42311096191406
locked_st_clean,2052,3,0.4065152704715729,0.6375855005186151,0.42348983883857727,47.525089263916016,31.56657600402832,48.74348831176758
locked_st_clean,2052,4,0.5363378524780273,0.7323509080202109,0.5025489926338196,54.58882522583008,37.45957946777344,53.90815734863281
locked_st_clean,2052,5,0.6610944271087646,0.8130771347841266,0.5735113024711609,60.60608673095703,42.74905014038086,60.5577392578125
locked_st_clean,2052,6,0.7778056263923645,0.881932892227274,0.6318651437759399,65.73853302001953,47.09870147705078,64.32342529296875
st_time_residual_adapter,2052,1,0.10233989357948303,0.3199060699322272,0.19445261359214783,23.845529556274414,14.494333267211914,31.31304931640625
st_time_residual_adapter,2052,2,0.2518955171108246,0.5018919376826296,0.3123798072338104,37.410606384277344,23.28453254699707,38.27629852294922
st_time_residual_adapter,2052,3,0.40015414357185364,0.6325773814892954,0.41079840064048767,47.15178680419922,30.62057113647461,48.26487731933594
st_time_residual_adapter,2052,4,0.525090217590332,0.7246310906870695,0.4915423095226288,54.01339340209961,36.6391487121582,54.14313507080078
st_time_residual_adapter,2052,5,0.6482553482055664,0.8051430607075779,0.5643500089645386,60.01469039916992,42.06617736816406,60.112274169921875
st_time_residual_adapter,2052,6,0.7615078687667847,0.8726441822225051,0.6204341650009155,65.0461654663086,46.246639251708984,63.472511291503906
st_fixed_frequency_residual,2052,1,0.10283039510250092,0.32067178719447853,0.19504046440124512,23.902606964111328,14.538153648376465,30.693256378173828
st_fixed_frequency_residual,2052,2,0.2547183036804199,0.5046962489264408,0.314322292804718,37.61963653564453,23.4293212890625,38.203407287597656
st_fixed_frequency_residual,2052,3,0.40450337529182434,0.6360057981589667,0.4151071310043335,47.40734100341797,30.941740036010742,48.469112396240234
st_fixed_frequency_residual,2052,4,0.5273644924163818,0.7261986590571355,0.49223917722702026,54.1302375793457,36.691097259521484,53.487152099609375
st_fixed_frequency_residual,2052,5,0.65032958984375,0.8064301518691808,0.5647985935211182,60.110626220703125,42.09961700439453,60.03988265991211
st_fixed_frequency_residual,2052,6,0.7633404731750488,0.8736935808251363,0.6210176944732666,65.12438201904297,46.290138244628906,63.5154914855957
locked_st_clean,2053,1,0.10644061863422394,0.32625238487132,0.2016436904668808,24.318578720092773,15.030350685119629,29.51798439025879
locked_st_clean,2053,2,0.254451185464859,0.5044315468573105,0.31137537956237793,37.59990692138672,23.209659576416016,37.80263900756836
locked_st_clean,2053,3,0.397085964679718,0.6301475737315173,0.41271620988845825,46.97066879272461,30.763521194458008,48.07001495361328
locked_st_clean,2053,4,0.519092321395874,0.7204806183346462,0.4848135709762573,53.704017639160156,36.137596130371094,52.58425521850586
locked_st_clean,2053,5,0.6310832500457764,0.7944074836290104,0.5536326169967651,59.21446990966797,41.26730728149414,58.55616760253906
locked_st_clean,2053,6,0.7606233954429626,0.8721372572267295,0.621856153011322,65.00837707519531,46.352638244628906,63.75825500488281
st_time_residual_adapter,2053,1,0.104240782558918,0.3228634116138247,0.19591271877288818,24.065967559814453,14.603170394897461,29.13280487060547
st_time_residual_adapter,2053,2,0.2513119876384735,0.5013102708288286,0.3065100610256195,37.367244720458984,22.847002029418945,37.30550003051758
st_time_residual_adapter,2053,3,0.39238879084587097,0.6264094434520212,0.40571510791778564,46.69203186035156,30.241662979125977,47.21202087402344
st_time_residual_adapter,2053,4,0.5163411498069763,0.7185688205084996,0.4818807542324066,53.561519622802734,35.91898727416992,52.868324279785156
st_time_residual_adapter,2053,5,0.6294826865196228,0.7933994495332239,0.553770124912262,59.13933181762695,41.277557373046875,59.16458511352539
st_time_residual_adapter,2053,6,0.7503393292427063,0.8662212934595329,0.6157010793685913,64.5674057006836,45.89384460449219,63.570899963378906
st_fixed_frequency_residual,2053,1,0.1062033623456955,0.3258885735120142,0.20043988525867462,24.291460037231445,14.940621376037598,30.238910675048828
st_fixed_frequency_residual,2053,2,0.25385937094688416,0.5038445900740467,0.30898091197013855,37.55615234375,23.031177520751953,37.7568244934082
st_fixed_frequency_residual,2053,3,0.39618611335754395,0.6294331683010865,0.4106219708919525,46.91741943359375,30.60741424560547,48.03238296508789
st_fixed_frequency_residual,2053,4,0.51848304271698,0.7200576662441558,0.4839777946472168,53.6724967956543,36.07529830932617,53.1132926940918
st_fixed_frequency_residual,2053,5,0.6296219229698181,0.7934871914340005,0.5523231625556946,59.14586639404297,41.16970443725586,58.67301940917969
st_fixed_frequency_residual,2053,6,0.7574647068977356,0.8703244836828018,0.6200536489486694,64.87326049804688,46.2182731628418,63.61585998535156
locked_st_clean,2054,1,0.11686951667070389,0.3418618385703556,0.2160661667585373,25.48209571838379,16.105390548706055,33.09065246582031
locked_st_clean,2054,2,0.26407718658447266,0.5138844097503569,0.32742175459861755,38.30451583862305,24.405742645263672,44.727325439453125
locked_st_clean,2054,3,0.4091086983680725,0.6396160554333142,0.4264550805091858,47.67644500732422,31.78760528564453,53.242706298828125
locked_st_clean,2054,4,0.5439150333404541,0.7375059547830473,0.5089163780212402,54.97307586669922,37.934200286865234,58.44265365600586
locked_st_clean,2054,5,0.6678459644317627,0.817218431284906,0.5780944228172302,60.91477584838867,43.09067916870117,62.62574005126953
locked_st_clean,2054,6,0.7891890406608582,0.8883631243252155,0.6416364312171936,66.21784210205078,47.827049255371094,67.7298812866211
st_time_residual_adapter,2054,1,0.10960696637630463,0.3310694283323433,0.20505619049072266,24.677637100219727,15.284716606140137,31.481922149658203
st_time_residual_adapter,2054,2,0.2592594027519226,0.5091752181242942,0.32138821482658386,37.953495025634766,23.956010818481445,42.75476837158203
