variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon,learning_rate_retry,note
trad_persistence,trad_persistence,deterministic,completed,0,,4.520000402408186e-06,0.004669578000175534,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.368049293756485,0.6066706633392495,0.37424159049987793,14.153450012207031,8.730947494506836,28.416208267211914,,,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,3.450000804150477e-06,0.002102645999912056,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,0.958717405796051,0.9791411572373265,0.7148310542106628,22.84307861328125,16.676799774169922,53.04697799682617,,,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.00919165699997393,0.0018710570002440363,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9451444745063782,0.9721854115889511,0.8039668798446655,22.680801391601562,18.756311416625977,54.93832778930664,,,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.3091027779992146,0.0034708059993135976,test,0,0,A,not_applicable,not_applicable,6,10.0,predictions/trad_spatial_linear.npz,0.36186397075653076,0.6015513035116213,0.4211697280406952,14.034017562866211,9.825766563415527,34.2516975402832,,,,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7001,completed,3,1.3885059356689453,9.426995315000568,0.04466994499944121,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7001.npz,1.1906583309173584,1.0911729152235032,0.9266555309295654,25.456745147705078,21.61860466003418,59.76963806152344,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7002,completed,9,1.9644168615341187,13.196777876999477,0.03480564400069852,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7002.npz,0.7465755343437195,0.8640460255933821,0.7120540142059326,20.157941818237305,16.61201286315918,50.582271575927734,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7003,completed,10,1.2327793836593628,14.0784999159996,0.034650857000087854,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7003.npz,0.7858496904373169,0.8864816357022388,0.7037312984466553,20.681358337402344,16.4178466796875,49.324363708496094,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7001,completed,3,1.3885059356689453,7.914025642000524,0.03558444200007216,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7001.npz,1.1906583309173584,1.0911729152235032,0.9266555309295654,25.456745147705078,21.61860466003418,59.76963806152344,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7002,nonfinite,0,,,,test,25932,25932,C,default,default,6,,,,,,,,,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",non-finite training loss at protocol lr and at lr/10: plain_mix_patchtst_top5_default seed=7002 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,6.0,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7003,nonfinite,0,,,,test,25932,25932,C,default,default,6,,,,,,,,,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",non-finite training loss at protocol lr and at lr/10: plain_mix_patchtst_top5_default seed=7003 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,6.0,,
multi_gru_default,multi_gru,7001,nonfinite,0,,,,test,33006,33006,C,default,default,6,,,,,,,,,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}",non-finite training loss at protocol lr and at lr/10: multi_gru_default seed=7001 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,6.0,,
multi_gru_default,multi_gru,7002,completed,30,1.2147562503814697,19.89456985200013,1.0061468690000765,test,33006,33006,C,default,default,6,,predictions/multi_gru_default_seed7002.npz,0.41040506958961487,0.6406286518644126,0.4791373014450073,14.945679664611816,11.17813491821289,37.499351501464844,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}",,,,,,True,nonfinite loss at protocol lr; retried once with lr/10
multi_gru_default,multi_gru,7003,completed,16,0.7388577461242676,14.21333315100037,0.05135973600044963,test,33006,33006,C,default,default,6,,predictions/multi_gru_default_seed7003.npz,0.3070545792579651,0.5541250574175157,0.38655877113342285,12.927576065063477,9.018302917480469,30.184995651245117,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,7001,completed,30,1.379056692123413,19.433903254000143,0.05086997299986251,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed7001.npz,0.4299306571483612,0.655690976869715,0.4815322458744049,15.297079086303711,11.234006881713867,37.693992614746094,[0],"{""hidden_size"": 100}",,,,,,True,nonfinite loss at protocol lr; retried once with lr/10
