variant,runs,rmse_ugm3_mean,rmse_ugm3_std,mae_ugm3_mean,mae_ugm3_std,smape_percent_mean,smape_percent_std,best_valid_loss_mean,best_valid_loss_std,training_seconds_mean,training_seconds_std,test_inference_seconds_mean,test_inference_seconds_std,alpha_mean,alpha_std,spatial_residual_rms_ratio_mean,spatial_residual_rms_ratio_std,gate_normalized_entropy_mean,gate_normalized_entropy_std,null_neighbor_weight_mean_mean,null_neighbor_weight_mean_std,gate_sample_std_mean_mean,gate_sample_std_mean_std,neighbor_out_weight_norm_mean,neighbor_out_weight_norm_std,zero_neighbor_rmse_ugm3_mean,zero_neighbor_rmse_ugm3_std,shuffle_neighbor_rmse_ugm3_mean,shuffle_neighbor_rmse_ugm3_std
degraded_patchtst,3,21.375035603841145,0.08220050032186547,10.0092191696167,0.05019859626533949,16.038817405700684,0.23742746190664493,0.10201976199944814,0.000734120676879661,13.945596223000999,4.643612741553827,0.03943453433263736,0.0017293954574677908,0.0,0.0,0.0,0.0,0.9995284875233968,0.0004901123486691969,0.05862646053234736,0.0068600635878808104,0.0017008236609399319,0.0007633144535687721,0.0,0.0,21.375035603841145,0.08220050032186547,21.375035603841145,0.08220050032186547
st_center_only,3,21.445086161295574,0.16930325801536736,10.283613522847494,0.03778385219107774,17.18644650777181,0.8552448378732933,0.1029528205593427,0.0022705932660920533,11.657941221664563,3.325123776455011,0.03977193966905664,0.0004345926226126538,0.05467485139767329,0.0013078223966090656,0.04573584469473956,0.0047757725105984335,0.8318833311398824,0.06482666111300456,0.03509954735636711,0.001687593485487589,0.023668831835190456,0.004235485516351034,0.3786369164784749,0.022005200269730213,21.463354746500652,0.05387529095179691,21.582495371500652,0.17931174391310545
st_pairwise,3,21.44840367635091,0.06673303846186476,10.487903912862143,0.12273958408900115,18.572420120239258,0.49814464677911874,0.10008653501669566,0.0018436909969829396,11.870704411000284,2.521707831857098,0.0363614233356202,0.0030321173283693937,0.06091482688983282,0.0033496429273828423,0.10020913225643246,0.019782772277161215,0.9301120638847351,0.01810433548799954,0.05378305912017822,0.0027313185321186984,0.04283434649308523,0.007413599773925162,0.556141197681427,0.0623782231076702,21.401318232218426,0.06290452497162081,21.876807530721027,0.10534786254182646
