arm,seed,artifact,best_epoch,best_valid_loss,trained_epochs,training_seconds,initialized_from_degraded,backbone_frozen,config_fingerprint
degraded_patchtst,7001,predictions/degraded_patchtst_seed7001.npz,13,0.5633612275123596,21,5.66985406400272,False,False,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
st_sparse_station_bias_delta_forecast,7001,predictions/st_sparse_station_bias_delta_forecast_seed7001.npz,2,0.5593773126602173,10,1.3538394870010961,True,True,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
degraded_patchtst,7002,predictions/degraded_patchtst_seed7002.npz,34,0.5607525110244751,40,8.768740539002465,False,False,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
st_sparse_station_bias_delta_forecast,7002,predictions/st_sparse_station_bias_delta_forecast_seed7002.npz,1,0.5512263774871826,9,1.2181136059989512,True,True,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
degraded_patchtst,7003,predictions/degraded_patchtst_seed7003.npz,20,0.563979983329773,28,6.193320598002174,False,False,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
st_sparse_station_bias_delta_forecast,7003,predictions/st_sparse_station_bias_delta_forecast_seed7003.npz,5,0.5522008538246155,13,1.7404592929997307,True,True,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
degraded_patchtst,7004,predictions/degraded_patchtst_seed7004.npz,34,0.5635585784912109,40,8.68148453699905,False,False,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
st_sparse_station_bias_delta_forecast,7004,predictions/st_sparse_station_bias_delta_forecast_seed7004.npz,2,0.5553417801856995,10,1.359982529997069,True,True,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
degraded_patchtst,7005,predictions/degraded_patchtst_seed7005.npz,24,0.562513530254364,32,6.785787510998489,False,False,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
st_sparse_station_bias_delta_forecast,7005,predictions/st_sparse_station_bias_delta_forecast_seed7005.npz,2,0.5522664189338684,10,1.6009780319982383,True,True,aff3a76383bc46328847042448faeca2fb6dd332c86a90824b6eb7f513a8e36c
