arm,seed,artifact,best_epoch,best_valid_loss,trained_epochs,training_seconds,initialized_from_degraded,backbone_frozen,config_fingerprint
degraded_patchtst,7001,predictions/degraded_patchtst_seed7001.npz,22,0.3767090439796448,30,6.432863402998919,False,False,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
st_sparse_station_bias_delta_forecast,7001,predictions/st_sparse_station_bias_delta_forecast_seed7001.npz,4,0.36914631724357605,12,1.8254837530002987,True,True,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
degraded_patchtst,7002,predictions/degraded_patchtst_seed7002.npz,20,0.37180295586586,28,5.917914892001136,False,False,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
st_sparse_station_bias_delta_forecast,7002,predictions/st_sparse_station_bias_delta_forecast_seed7002.npz,31,0.35727643966674805,39,5.313053011002921,True,True,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
degraded_patchtst,7003,predictions/degraded_patchtst_seed7003.npz,15,0.3777160048484802,23,4.778847870999016,False,False,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
st_sparse_station_bias_delta_forecast,7003,predictions/st_sparse_station_bias_delta_forecast_seed7003.npz,22,0.3648906350135803,30,4.136116230998596,True,True,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
degraded_patchtst,7004,predictions/degraded_patchtst_seed7004.npz,11,0.3749561607837677,19,4.074881811000523,False,False,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
st_sparse_station_bias_delta_forecast,7004,predictions/st_sparse_station_bias_delta_forecast_seed7004.npz,40,0.359641969203949,40,5.493387903999974,True,True,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
degraded_patchtst,7005,predictions/degraded_patchtst_seed7005.npz,18,0.3767971098423004,26,5.475123836000421,False,False,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
st_sparse_station_bias_delta_forecast,7005,predictions/st_sparse_station_bias_delta_forecast_seed7005.npz,19,0.3637842535972595,27,3.838092496000172,True,True,3b6b2fff1f8a5ff8eac18cabd91acc2564e5302707f022f07cd542fc9884dc0c
