variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,4,0.10418365895748138,10,11673,17.090734844777778,12.442493747307534,44.54521797018066,39768
st_time,7001,19,0.11338458210229874,25,11673,16.977912993445635,12.338231414454585,44.09875331831877,39768
st_rfft,7002,3,0.10297925770282745,9,11673,17.17374371208015,12.531534591447274,44.70352419200429,39768
st_time,7002,11,0.11177915334701538,17,11673,17.081958629456974,12.471354154292499,44.405424249526575,39768
st_rfft,7003,4,0.10417299717664719,10,11673,17.08221121986099,12.467327242093267,44.53244642155379,39768
st_time,7003,15,0.11014000326395035,21,11673,17.02217379149649,12.426826405107938,44.323016496252976,39768
st_rfft,7004,4,0.1041976660490036,10,11673,17.265453001923856,12.638901716889185,44.96266304716829,39768
st_time,7004,10,0.11019551753997803,16,11673,17.20102781740694,12.567909429548637,44.64490564574039,39768
st_rfft,7005,3,0.10297385603189468,9,11673,17.17636161241345,12.529467763039362,44.680139727904425,39768
st_time,7005,1,0.10081779956817627,7,11673,17.19397243524097,12.524610218160518,44.68072046565253,39768
